parameter_set,model_type,condition,reference_condition,feature_id,Q_Ah,tau_factor_set,omega_tau_set,period_s,phase_norm,cycle_count,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_amp,window_valid
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_min_surface_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.0038872008164195504,0.13445617206406638,0.13532250003367374,-0.0008663279696073667,0.01890269976340124,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,1.4908160455462394e-05,0.783207413548734,0.7832764688828675,-6.905533413348319e-05,0.0071478850303540176,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_surface_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-0.005771156463316607,0.7631210017603445,0.7625142685495819,0.0006067332107625445,0.028457088885862736,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_mean,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-9.102862765290524,984.8676401856568,983.1142407194768,1.7533994661799852,38.701788627348265,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_range,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,168.36742950937793,340.90774341487025,352.0829540179448,-11.17521060307456,742.3590876116265,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_n_mean,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-0.054793910846147265,-0.02733495454135295,-0.04627762542631783,0.01894267088496488,0.15782124745406104,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_p_mean,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.009235269743511784,0.0034679355984735863,0.004242588054752562,-0.0007746524562789758,0.019418503864823577,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_n_mean_signed,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-1.0367985467314869,-0.38449583479703925,-0.44647414944961256,0.06197831465257331,2.083499431015916,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_p_mean_signed,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,1.1738830140062682,0.4353338185690948,0.505506358745718,-0.07017254017662322,2.3589769130380165,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,cell_temperature_K,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.0,298.15,298.1500000000001,-1.1368683772161603e-13,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,total_heating_mean,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.0,0.0,0.0,0.0,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_minus_avg_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.004697964361226146,0.004525817529673714,0.004949732632382147,-0.00042391510270843244,0.012515167848831638,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_surface_minus_avg_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-0.005786064623772024,-0.02008641178838946,-0.020762200333285494,0.0006757885448960346,0.02229970553537053,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_sto_range,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.0028541994368022237,0.007497929132304996,0.005555675583173894,0.0019422535491311023,0.007249029180766614,True
