param_set,arm,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method,initial_soc
Chen2020,DC_reference,1210.0,3.4173590605874464,-1.0,0.33611111111111114,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1220.0,3.419013364570485,-1.0,0.3388888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1230.0,3.420655432533653,-1.0,0.3416666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1240.0,3.4222849592420266,-1.0,0.34444444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1250.0,3.4239016399869113,-1.0,0.3472222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1260.0,3.425505171332761,-1.0,0.35,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1270.0,3.4270952846023075,-1.0,0.3527777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1280.0,3.428671713079553,-1.0,0.35555555555555557,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1290.0,3.430234223376572,-1.0,0.35833333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1300.0,3.4317825601748533,-1.0,0.3611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1310.0,3.433316475800418,-1.0,0.3638888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1320.0,3.434835788580554,-1.0,0.36666666666666664,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1330.0,3.436340309133787,-1.0,0.36944444444444446,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1340.0,3.43782985011827,-1.0,0.37222222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1350.0,3.439304247751597,-1.0,0.375,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1360.0,3.440763320427127,-1.0,0.37777777777777777,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1370.0,3.4422070010897627,-1.0,0.38055555555555554,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1380.0,3.4436350538351643,-1.0,0.38333333333333336,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1390.0,3.445047504625541,-1.0,0.3861111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1400.0,3.4464441050474766,-1.0,0.3888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1410.0,3.447824903956217,-1.0,0.39166666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1420.0,3.4491897279219765,-1.0,0.39444444444444443,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1430.0,3.450538606338112,-1.0,0.3972222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1440.0,3.451871415562681,-1.0,0.4,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1450.0,3.453188167952594,-1.0,0.4027777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1460.0,3.4544888409304453,-1.0,0.40555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1470.0,3.455773430342579,-1.0,0.4083333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1480.0,3.4570419378920194,-1.0,0.4111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1490.0,3.458294391384462,-1.0,0.41388888888888886,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1500.0,3.459530798416038,-1.0,0.4166666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1510.0,3.4607512740650592,-1.0,0.41944444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1520.0,3.461955824732108,-1.0,0.4222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1530.0,3.463144432416771,-1.0,0.425,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1540.0,3.464317097119048,-1.0,0.42777777777777776,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1550.0,3.465474154160632,-1.0,0.4305555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1560.0,3.466615586224165,-1.0,0.43333333333333335,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
