condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
DC03_AC07_f000412,0.2780990061334839,340.0980235020698,0.11828614786555033,0.1314773955670727,0.1403056407096413,0.12691889447537388,0.7926171998565541,0.7511817191289442,958.3094439999214,909.5208272189478,-0.09902316518631069,0.010844438919067377,-1.2496724568228228,1.414903383917251,298.15,0.0,0.013191247701522364,-0.04143548072760996,0.01338674623426741
DC03_AC07_f000412,0.31714850920022586,372.8692120863757,0.12498986803018257,0.13882897430537564,0.14944090429861487,0.1335153089805124,0.7881433936668685,0.74366994742639,956.6489279658309,951.8076860307744,-0.10045527216459134,0.01114098003504443,-1.3030030240028065,1.4752819295363495,298.15,0.0,0.013839106275193084,-0.0444734462404784,0.015925595318102486
DC03_AC07_f000412,0.3561980122669678,404.41933930186156,0.13169541793460585,0.14609718935824406,0.15917825332681843,0.1397933013230448,0.783668366378897,0.7364224840583793,955.3409308502775,986.4152663940276,-0.10145088048942165,0.011380803249635635,-1.3485253860656143,1.526825591611931,298.15,0.0,0.014401771423638217,-0.04724588232051774,0.019384952003773635
DC03_AC07_f000412,0.3952475153337097,435.001835291496,0.1384001711075125,0.15328714428880874,0.16958715927032852,0.14574543125646183,0.7791938707990375,0.7294192499099391,954.3395250515711,1014.1463968987568,-0.10206167766907752,0.011570989345711777,-1.3869149096425775,1.5702909265727303,298.15,0.0,0.014886973181296243,-0.04977462088909838,0.023841728013866692
DC03_AC07_f000412,0.43429701840045165,464.8199212712027,0.14510383857098108,0.16040402067366902,0.18061521955546653,0.1513964007460161,0.7747200997800909,0.7226451668134906,953.5920971373567,1035.9258315165296,-0.10234632089286423,0.011716374123365297,-1.418673040579021,1.6062480431530157,298.15,0.0,0.015300182102687932,-0.052074932966600374,0.029218818809450407
DC03_AC07_f000412,0.4733465214671936,494.04207344937106,0.1518046089323215,0.1674503954321411,0.19205844851383438,0.15679622062008475,0.7702482621761905,0.7160885920177729,953.0392847460863,1052.8331385719234,-0.10237581816621033,0.011820083904525899,-1.4441822570356744,1.6351301242626877,298.15,0.0,0.015645786499819587,-0.05415967015841756,0.03526222789374961
DC03_AC07_f000412,0.5123960245339355,522.8116976867748,0.15850537690336713,0.1744313501041738,0.20362777588131484,0.16200584824534262,0.7657764261674821,0.7097428838485215,952.6266336134887,1065.8499737069658,-0.10222151562892542,0.011884159976577841,-1.4637218963026135,1.6572533148738005,298.15,0.0,0.015925973200806673,-0.056033542318960614,0.04162192763597221
DC03_AC07_f000412,0.5514455276006774,551.2556182386402,0.16520614230156863,0.18134918685818327,0.2149927740873604,0.16709123993302163,0.7613045918757908,0.7036025884259919,952.3073535766134,1075.9015263808758,-0.10194074180020744,0.01190987020795818,-1.4774965661837718,1.672849223520518,298.15,0.0,0.01614304455661465,-0.05770200344979884,0.04790153415433877
DC03_AC07_f000412,0.5904950306674194,579.4892136175843,0.17190764625393573,0.18820546081209938,0.2258756767555014,0.17211269494609432,0.7568322647013248,0.6976672910126401,952.053598671641,1083.5771849306893,-0.10156428514709397,0.011898220791220786,-1.4856445775649707,1.682074497971153,298.15,0.0,0.01629781455816365,-0.05916497368868463,0.05376298180940709
DC03_AC07_f000412,0.6295445337341613,607.6208079980246,0.1786086554816211,0.19500069434639664,0.23611581239534776,0.17712287557121284,0.7523602676871713,0.6919333085974857,951.8539817887537,1089.2061781209954,-0.10109675580532669,0.011849869174066552,-1.488241901446295,1.6850152365068292,298.15,0.0,0.016392038864775527,-0.06042695908968563,0.05899293682413492
DC03_AC07_f000412,0.6685940368009033,635.7554668244431,0.18530931750666557,0.20173541538413214,0.2456636163250266,0.18216362575819936,0.7478885023827673,0.686400290193712,951.7135023496652,1092.769380366576,-0.10052179168966187,0.011765425094511981,-1.4853203080395845,1.681707353970058,298.15,0.0,0.016426097877466576,-0.061488212189055355,0.06349999056682726
DC03_AC07_f000412,0.7076435398676453,663.9983336214822,0.192010071699933,0.20840931530873993,0.2545457025143069,0.1872681402967118,0.7434166755688199,0.6810713296149755,951.6482394037092,1093.9958653387655,-0.09980999038336356,0.011645182811518162,-1.4768456991794165,1.67211224376716,298.15,0.0,0.01639924360880694,-0.062345345953844375,0.06727756221759512
DC03_AC07_f000412,0.7466930429343872,692.4580392150797,0.19871082157289563,0.21502093770749045,0.2628282706110762,0.19246216372001734,0.7389448516380789,0.675953630881993,951.6812206857496,1092.4443283772255,-0.0989257582788927,0.011489170360462765,-1.4627378947929068,1.656139124530344,298.15,0.0,0.01631011613459482,-0.06299122075608594,0.07036610689105885
DC03_AC07_f000412,0.7857425460011291,721.2505299804883,0.20541156627741403,0.22156870475761412,0.2705988935203172,0.19776461077972488,0.73447303115656,0.6710544599359766,951.8377305809972,1087.605907191487,-0.09783149717355656,0.011296863774336625,-1.4428546173623449,1.6336269070005476,298.15,0.0,0.016157138480200096,-0.06341857122058348,0.0728342827405923
DC03_AC07_f000412,0.8247920490678711,750.5034899871596,0.21211230468522,0.22805023231372368,0.2779415676606001,0.20318837367160164,0.7300012148772252,0.6663838779489007,952.1445538317607,1078.9139553408945,-0.09648861137193813,0.0110671540212626,-1.416986997842682,1.604339105749654,298.15,0.0,0.015937927628503684,-0.06361733692832451,0.07475319398899842
DC03_AC07_f000412,0.863841552134613,780.3617992143162,0.21881303540860056,0.23446224752213912,0.28492831237563293,0.20874042248082905,0.7255294037261821,0.6619551552692077,952.6292590507225,1065.7690431462463,-0.09485724147708516,0.01079822252723313,-1.3848486050902917,1.5679514180945555,298.15,0.0,0.01564921211353857,-0.06357424845697439,0.07618788989480386
DC03_AC07_f000412,0.9028910552013549,810.9951761221613,0.22551375697387666,0.2408003688711458,0.2916158355233492,0.21442166940860205,0.7210575986869078,0.6577856395147262,953.3204721781276,1047.542623278482,-0.0928945262486623,0.010487360657898329,-1.3460551251196113,1.5240287165739828,298.15,0.0,0.015286611897269145,-0.06327195917218158,0.07719416611474715
DC03_AC07_f000412,0.9419405582680969,842.608734683972,0.23221446617262845,0.24705879904179157,0.2980448317171949,0.2202266495209268,0.7165858019005772,0.6538979492986893,954.2488135006656,1023.5669529942875,-0.09055167722779209,0.01013073376070099,-1.3000973390021084,1.4719944540193806,298.15,0.0,0.014844332869163129,-0.06268785260188793,0.0778181821962681
DC03_AC07_f000412,0.9809900613348388,875.4606904058876,0.23891516712755054,0.25322973421140316,0.3042396285027737,0.22614340070260014,0.712114010615864,0.6503222495039471,955.4489562634717,993.100449146142,-0.08776869220122117,0.009722941248509472,-1.2462875000918385,1.411069950852415,298.15,0.0,0.014314567083852635,-0.061791761111916935,0.07809622780017357
DC03_AC07_f000412,1.0200395644015807,909.8851080032866,0.24561585482571707,0.2593027480567173,0.3102080812088203,0.23215318434864882,0.7076422281782018,0.6470986254609945,956.9618116450633,955.293457646491,-0.0844677747843124,0.009256529576777587,-1.1837071043901604,1.3402152597150576,298.15,0.0,0.013686893231000245,-0.06054360271720727,0.07805489686017152
DC03_AC07_f000412,1.0590890674683227,946.3362359035089,0.2523165193143102,0.26526332823919385,0.31593924638843257,0.23823107202069332,0.7031704612297198,0.6442826735328775,958.8395691628842,909.0917982686815,-0.08054005531963233,0.00872089849208315,-1.1110771434773445,1.2579822642324492,298.15,0.0,0.01294680892488368,-0.05888778769684233,0.07770817436773929
