parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1180393130492874,0.2236078626098575,0.2736078626098575,2683.2943513182895,2315.0145023027903,368.27984901549917,6.137997483591652,2683.29435131829,2315.0098843971778,368.2844669211122,6.138074448685203,-0.004617905613031326,-7.69650935505221e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1531441169475387,0.23062882338950774,0.28062882338950773,2767.545880674093,2343.410144611631,424.135736062462,7.068928934374367,2767.545880674093,2343.4040912664086,424.1417894076844,7.069029823461407,-0.006053345222426287,-0.00010088908704043812,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.18824892084579,0.237649784169158,0.287649784169158,2851.797410029896,2376.4335596696433,475.36385036025285,7.9227308393375475,2851.797410029896,2376.4253564199776,475.37205360991857,7.92286756016531,-0.008203249665712065,-0.00013672082776186774,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.2233537247440414,0.24467074494880828,0.2946707449488083,2936.048939385699,2421.897669849749,514.1512695359502,8.569187825599169,2936.048939385699,2421.886413977186,514.1625254085134,8.569375423475224,-0.011255872563197045,-0.00018759787605328407,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.2584585286422927,0.25169170572845856,0.30169170572845855,3020.3004687415023,2900.903657480604,119.39681126089818,1.989946854348303,3020.3004687415023,2900.9044309923493,119.39603774915304,1.989933962485884,0.0007735117451375118,1.2891862418958529e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.293563332540544,0.2587126665081088,0.3087126665081088,3104.551998097306,2928.092245668668,176.45975242863778,2.9409958738106297,3104.551998097306,2928.0909246575266,176.46107343977928,2.9410178906629882,-0.0013210111414991843,-2.201685235831974e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3286681364387953,0.26573362728775907,0.31573362728775906,3188.803527453109,2953.7973936240837,235.0061338290252,3.91676889715042,3188.803527453109,2953.795589886107,235.00793756700205,3.916798959450034,-0.0018037379768429673,-3.0062299614049456e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3637729403370464,0.27275458806740926,0.32275458806740925,3273.0550568089116,2979.1162677278767,293.9387890810349,4.898979818017248,3273.0550568089116,2979.1134529908454,293.94160381806614,4.899026730301102,-0.002814737031258119,-4.691228385430198e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3988777442352978,0.2797755488470596,0.32977554884705956,3357.3065861647146,3005.004873703043,352.30171246167174,5.871695207694529,3357.3065861647146,3005.000681451224,352.3059047134907,5.8717650785581785,-0.004192251818949444,-6.98708636491574e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.433982548133549,0.28679650962670983,0.3367965096267098,3441.5581155205177,3032.627801988171,408.93031353234664,6.815505225539111,3441.558115520518,3032.6222113797053,408.9359041408129,6.815598402346882,-0.005590608466263802,-9.317680777106337e-05,0.1,4.2774716638919035,0.1,0.25
