case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,round,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.90C+AC0.10C_f0.00067Hz,0.9,0.1,0.0006660931598825011,0.11111111111111112,1.1022038459777832,2951.4854342674844,4796.350154595377,7747.835588862861,49.19142390445807,79.93916924325627,129.13059314771436,5124.737642229884,32.16537905757127,0.0,0.0,ok,0.9+0.1C 10τ,10τ,R1,23.83,0.00143,,,
DC0.90C+AC0.10C_f0.00666Hz,0.9,0.1,0.0066609315988250106,0.11111111111111112,1.091435194015503,2949.148657085663,4799.101197352047,7748.24985443771,49.15247761809439,79.98501995586746,129.13749757396184,5124.980868386985,31.512259990625807,0.0,0.0,ok,0.9+0.1C 1τ,1τ,R1,23.83,0.0143,,,
DC0.10C_baseline,0.1,0.0,0.0,0.0,1.1603081226348877,36025.57172325896,2104.0155463891715,38129.58726964813,600.4261953876493,35.06692577315286,635.4931211608022,5126.313074640761,20.31536535481598,0.0,0.0,ok,0.1C_DC,baseline,R1,23.83,0.0,,,
DC0.20C_baseline,0.2,0.0,0.0,0.0,0.997495174407959,17512.350031736467,2872.6155004180728,20384.96553215454,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,21.01448955860934,0.0,0.0,ok,0.2C_DC,baseline,R1,23.83,0.0,,,
DC0.30C_baseline,0.3,0.0,0.0,0.0,1.119415044784546,11345.449198764976,3315.7676974956994,14661.216896260676,189.09081997941627,55.26279495826166,244.35361493767792,5125.988242972963,21.954979483666364,0.0,0.0,ok,0.3C_DC,baseline,R1,23.83,0.0,,,
DC0.40C_baseline,0.4,0.0,0.0,0.0,1.047196865081787,8245.777916981073,3650.013876587511,11895.791793568584,137.42963194968453,60.83356460979185,198.2631965594764,5125.895173088575,23.084276586466842,0.0,0.0,ok,0.4C_DC,baseline,R1,23.83,0.0,,,
DC0.50C_baseline,0.5,0.0,0.0,0.0,1.1535351276397705,6332.408742196827,3964.6545512499742,10297.063293446801,105.54014570328044,66.07757585416624,171.61772155744669,5125.986010082342,24.44427743009146,0.0,0.0,ok,0.5C_DC,baseline,R1,23.83,0.0,,,
DC0.90C_baseline,0.9,0.0,0.0,0.0,0.9903638362884521,2976.8591136879877,4770.210812004494,7747.069925692482,49.61431856146646,79.50351353340824,129.1178320948747,5125.246538546686,31.467021456707926,0.0,0.0,ok,0.9C_DC,baseline,R1,23.83,0.0,,,
DC0.20C+AC0.80C_f0.00067Hz,0.2,0.8,0.0006660931598825011,4.0,1.1243913173675537,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,R1,23.83,0.00143,262.20000311932563,20.859912903923203,1.499999999999115
DC0.10C+AC0.90C_f0.00805Hz,0.1,0.9,0.008049188640973632,9.0,7.349604845046997,29417.612378925653,4300.826935370802,33718.439314296455,490.2935396487609,71.6804489228467,561.9739885716076,5126.9359934221875,26.868385497056465,7538.0,43.82303354456136,ok,0.1+0.9C 1τ,1τ,R3,19.72,0.0143,,,
DC0.10C+AC0.20C_f0.00805Hz,0.1,0.2,0.008049188640973632,2.0,3.3651082515716553,34999.685114007756,2859.2491249949308,37858.93423900269,583.3280852334626,47.654152083248846,630.9822373167115,5128.765896155155,20.811930550069746,3655.0,32.680615164520745,ok,0.1+0.2C 1τ,1τ,R3,19.72,0.0143,,,
DC0.20C+AC0.30C_f0.00805Hz,0.2,0.3,0.008049188640973632,1.4999999999999998,2.7639260292053223,16493.282282794076,3613.3292504018536,20106.61153319593,274.88803804656794,60.222154173364224,335.1101922199322,5126.593376502012,21.984959080493866,1666.0,26.24862139593509,ok,0.2+0.3C 1τ,1τ,R3,19.72,0.0143,,,
DC0.20C+AC0.30C_f0.00080Hz,0.2,0.3,0.0008049188640973632,1.4999999999999998,1.1825840473175049,16958.846911000248,3606.7478492763294,20565.594760276577,282.6474485166708,60.11246415460549,342.7599126712763,5126.884544308115,22.529222937013344,189.0,23.247232472324722,ok,0.2+0.3C 10τ,10τ,R3,19.72,0.00143,,,
DC0.20C+AC0.30C_f0.00023Hz,0.2,0.3,0.00023078093306288033,1.4999999999999998,1.246453046798706,16612.6301123924,3831.0264950754245,20443.656607467823,276.8771685398733,63.850441584590406,340.7276101244637,5128.26794616717,23.767304199185958,59.0,15.24547803617571,ok,0.2+0.3C 34.8τ,34.8τ,R3,19.72,0.00041,,,
DC0.20C+AC0.80C_f0.08049Hz,0.2,0.8,0.08049188640973631,4.0,34.02377390861511,14917.41553544082,4228.040447123236,19145.455982564054,248.62359225734698,70.46734078538726,319.0909330427342,5123.299659952636,25.319151897375605,34065.0,39.62152228528892,ok,0.2+0.8C 0.1τ,0.1τ,R3,19.72,0.143,,,
DC0.20C+AC0.80C_f0.00805Hz,0.2,0.8,0.008049188640973632,4.0,4.39800500869751,14505.942432472539,4388.739326187122,18894.68175865966,241.76570720787564,73.14565543645203,314.91136264432765,5123.944156581065,25.761836165100476,3289.0,40.14892578125,ok,0.2+0.8C 1τ,1τ,R3,19.72,0.0143,,,
DC0.20C+AC0.80C_f0.00080Hz,0.2,0.8,0.0008049188640973632,4.0,0.8657231330871582,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,R3,19.72,0.00143,231.22271133659888,20.853443371333412,1.4999999999990283
DC0.30C+AC0.70C_f0.08049Hz,0.3,0.7,0.08049188640973631,2.3333333333333335,19.85239601135254,9749.045722223551,4350.709087953255,14099.754810176806,162.4840953703925,72.51181813255425,234.99591350294676,5123.818636016969,25.06748181090768,18269.0,34.839903121841445,ok,0.3+0.7C 0.1τ,0.1τ,R3,19.72,0.143,,,
DC0.30C+AC0.70C_f0.00805Hz,0.3,0.7,0.008049188640973632,2.3333333333333335,2.7047340869903564,9534.637469532006,4475.96180651879,14010.599276050796,158.9106244922001,74.59936344197983,233.50998793417995,5124.430949858087,25.4840269340026,1742.0,35.07147171330783,ok,0.3+0.7C 1τ,1τ,R3,19.72,0.0143,,,
DC0.30C+AC0.70C_f0.00080Hz,0.3,0.7,0.0008049188640973632,2.3333333333333335,0.8446369171142578,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.3+0.7C 10τ,10τ,R3,19.72,0.00143,342.0384807176706,21.013913842536624,1.4999999999999045
DC0.30C+AC0.40C_f0.08049Hz,0.3,0.4,0.08049188640973631,1.3333333333333335,13.742305994033813,10196.314163451387,4141.824480462055,14338.138643913442,169.93856939085646,69.03040800770093,238.96897739855737,5125.491563983537,23.501668057306517,9406.0,22.896786757546252,ok,0.3+0.4C 0.1τ,0.1τ,R3,19.72,0.143,,,
DC0.30C+AC0.40C_f0.00805Hz,0.3,0.4,0.008049188640973632,1.3333333333333335,2.124784231185913,10031.196968423226,4247.1756940658015,14278.372662489028,167.18661614038712,70.78626156776336,237.97287770815046,5126.429893155059,23.739702716301906,946.0,22.29029217719133,ok,0.3+0.4C 1τ,1τ,R3,19.72,0.0143,,,
DC0.30C+AC0.40C_f0.00080Hz,0.3,0.4,0.0008049188640973632,1.3333333333333335,1.1916580200195312,10706.206201429797,4121.171756818381,14827.377958248178,178.43677002382995,68.68619594697302,247.12296597080297,5125.748608595136,24.266429315933294,120.0,19.38610662358643,ok,0.3+0.4C 10τ,10τ,R3,19.72,0.00143,,,
DC0.40C+AC0.60C_f0.01610Hz,0.4,0.6,0.016098377281947265,1.4999999999999998,3.261137008666992,7126.7347063896905,4495.328861899763,11622.063568289454,118.77891177316151,74.92214769832938,193.70105947149088,5123.571555539892,25.470528536295546,1805.0,26.559741024131842,ok,0.4+0.6C 0.5τ,0.5τ,R3,19.72,0.0286,,,
DC0.40C+AC0.50C_f0.00484Hz,0.4,0.5,0.004840770791075051,1.25,1.6357150077819824,7168.359747763907,4504.02807541736,11672.387823181267,119.47266246273178,75.06713459028933,194.53979705302112,5124.907338388053,25.170114406900495,381.0,19.184290030211482,ok,0.4+0.5C 1.67τ,1.67τ,R3,19.72,0.0086,,,
DC0.40C+AC0.60C_f0.00484Hz,0.4,0.6,0.004840770791075051,1.4999999999999998,1.5304572582244873,6969.900749876733,4611.674850668138,11581.575600544871,116.16501249794555,76.86124751113563,193.0262600090812,5125.865469151111,25.969964174809206,532.0,24.894712213383247,ok,0.4+0.6C 1.67τ,1.67τ,R3,19.72,0.0086,,,
DC0.40C+AC0.60C_f0.00161Hz,0.4,0.6,0.0016098377281947263,1.4999999999999998,1.173828125,7239.208521657081,4572.3482736574515,11811.556795314533,120.65347536095136,76.20580456095753,196.8592799219089,5126.097640800886,26.38335238923537,183.0,22.62051915945612,ok,0.4+0.6C 5τ,5τ,R3,19.72,0.00286,,,
DC0.40C+AC0.60C_f0.00080Hz,0.4,0.6,0.0008049188640973632,1.4999999999999998,1.0691630840301514,7085.259687099719,4730.817937868647,11816.077624968366,118.08766145166197,78.84696563114412,196.9346270828061,5125.464272125396,27.41349023328297,107.0,20.226843100189036,ok,0.4+0.6C 10τ,10τ,R3,19.72,0.00143,,,
DC0.50C+AC0.50C_f0.00805Hz,0.5,0.5,0.008049188640973632,1.0,1.6896791458129883,5556.966836933239,4619.523506734324,10176.490343667563,92.61611394888732,76.99205844557206,169.6081723944594,5125.006540430701,26.225850178752182,0.0,0.0,ok,0.5+0.5C 1τ,1τ,R3,19.72,0.0143,,,
