t_s,V_terminal_V,I_py_A,I_charge_A,Q_net_Ah,t_rel_s,V_fit_V,qfrac_target
10111.150008586266,4.037247932422497,0.0,-0.0,3.8314589937762205,615.6768428671276,4.03721506972461,0.85
10111.719794782764,4.03724566215149,0.0,-0.0,3.8314589937762205,616.2466290636257,4.037212890280469,0.85
10112.659732925018,4.037241925512719,0.0,-0.0,3.8314589937762205,617.1865672058793,4.037209304637504,0.85
10112.942546512731,4.037240803619337,0.0,-0.0,3.8314589937762205,617.4693807935928,4.0372082281144115,0.85
10113.225360100445,4.037239682691351,0.0,-0.0,3.8314589937762205,617.7521943813063,4.037207152673794,0.85
10113.790987275872,4.037237443176487,0.0,-0.0,3.8314589937762205,618.3178215567332,4.037205005035628,0.85
10114.73924346027,4.037233697239729,0.0,-0.0,3.8314589937762205,619.2660777411311,4.037201414268233,0.85
10115.019977537448,4.037232590617927,0.0,-0.0,3.8314589937762205,619.5468118183089,4.037200353532475,0.85
10115.300711614625,4.037231484941612,0.0,-0.0,3.8314589937762205,619.8275458954868,4.037199293855479,0.85
10115.862179768983,4.0372292758802395,0.0,-0.0,3.8314589937762205,620.3890140498443,4.037197177673544,0.85
10116.81875399552,4.037225520901615,0.0,-0.0,3.8314589937762205,621.345588276381,4.037193582051085,0.85
10117.097408562164,4.037224429401194,0.0,-0.0,3.8314589937762205,621.6242428430251,4.0371925369284885,0.85
10117.376063128808,4.0372233388261245,0.0,-0.0,3.8314589937762205,621.9028974096691,4.0371914928413455,0.85
10117.933372262094,4.037221159918188,0.0,-0.0,3.8314589937762205,622.4602065429553,4.037189407769318,0.85
10118.898264530771,4.0372173961508,0.0,-0.0,3.8314589937762205,623.4250988116328,4.03718580755748,0.85
10119.17483958688,4.037216319622862,0.0,-0.0,3.8314589937762205,623.7016738677412,4.037184777875579,0.85
10119.451414642988,4.037215243999503,0.0,-0.0,3.8314589937762205,623.9782489238496,4.037183749206224,0.85
10120.004564755203,4.0372130949480525,0.0,-0.0,3.8314589937762205,624.5313990360646,4.0371816949011725,0.85
10120.977775066021,4.037209322642303,0.0,-0.0,3.8314589937762205,625.5046093468827,4.037178090361993,0.85
10121.252270611594,4.037208260938008,0.0,-0.0,3.8314589937762205,625.7791048924555,4.037177075950017,0.85
10121.526766157167,4.037207200119025,0.0,-0.0,3.8314589937762205,626.0536004380283,4.037176062528074,0.85
