policy_id,condition,case_role,Q_Ah,t_DC_s,t_protocol_s,delta_t_raw_s,t_DC_geom_s,t_protocol_geom_s,delta_t_geom_s,delta_t_resid_s
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.2183805089514526,2924.1132214834824,2837.6899822936875,86.42323918979491,2924.113221483486,2837.6833263676185,86.42989511586757,-0.0066559260726535285
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.2512314931111768,3002.9555834668204,2876.8725069263714,126.08307654044893,3002.9555834668245,2876.861842457986,126.0937410088386,-0.010664468389677495
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.284082477270901,3081.797945450161,3081.786121570166,0.01182387999506318,3081.7979454501624,3081.7763094013108,0.02163604885163295,-0.00981216885656977
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.3169334614306254,3160.6403074334958,3132.011078177458,28.62922925603789,3160.6403074335008,3132.005682137457,28.63462529604385,-0.005396040005962277
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.3497844455903496,3239.482669416837,3168.011000879449,71.47166853738781,3239.4826694168387,3168.003901792363,71.4787676244755,-0.007099087087681255
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.3826354297500738,3318.325031400173,3204.5430797878325,113.78195161234044,3318.325031400177,3204.5336187775865,113.79141262259054,-0.009461010250106483
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.4154864139097982,3397.1673933835123,3260.0055137972668,137.1618795862455,3397.1673933835154,3259.98072402795,137.1866693555653,-0.024789769319795596
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.4483373980695224,3476.0097553668516,3460.280078611341,15.729676755510354,3476.0097553668543,3460.2758536913398,15.733901675514517,-0.0042249200041624135
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.4811883822292466,3554.8521173501927,3498.38530518787,56.46681216232264,3554.852117350192,3498.377498642517,56.47461870767529,-0.0078065453526505735
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.5140393663889709,3633.694479333531,3533.7093327321977,99.98514660133333,3633.69447933353,3533.700452367421,99.99402696610923,-0.008880364775905036
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.5468903505486953,3712.5368413168703,3577.6170484761055,134.91979284076479,3712.5368413168685,3577.6020189210694,134.93482239579907,-0.015029555034288933
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.5797413347084195,3791.379203300205,3786.225145598035,5.154057702170121,3791.379203300207,3786.2210716544228,5.158131645784124,-0.004073943614002928
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.6125923188681437,3870.2215652835453,3828.4837608129833,41.73780447056197,3870.221565283545,3828.4759479242207,41.745617359324115,-0.00781288876214603
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.6454433030278681,3949.063927266884,3863.6781021587562,85.38582510812785,3949.063927266883,3863.667477539862,85.39644972702126,-0.010624618893416482
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.6782942871875923,4027.9062892502234,3902.6134517989967,125.29283745122666,4027.906289250222,3902.599150010813,125.30713923940903,-0.014301788182365271
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.7111452713473165,4106.748651233563,4106.760824516179,-0.012173282616458891,4106.74865123356,4106.742781155498,0.005870078061889217,-0.018043360678348108
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.743996255507041,4185.591013216903,4157.913079066303,27.677934150599867,4185.591013216898,4157.903333034441,27.68768018245737,-0.009746031857503112
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.7768472396667652,4264.43337520024,4194.0119032401,70.42147196014048,4264.433375200237,4194.002227046388,70.43114815384888,-0.009676193708401115
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.8096982238264894,4343.275737183577,4230.419379538679,112.8563576448978,4343.275737183574,4230.407800749622,112.86793643395231,-0.011578789054510708
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.8425492079862138,4422.1180991669125,4284.5860362697285,137.532062897184,4422.118099166913,4284.5563774454695,137.56172172144397,-0.02965882425996824
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.875400192145938,4500.9604611502555,4486.068053115835,14.892408034420441,4500.960461150251,4486.058135161142,14.902325989109158,-0.009917954688717145
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.9082511763056622,4579.802823133597,4524.377521834885,55.42530129871193,4579.802823133589,4524.367572125157,55.435251008432715,-0.009949709720785904
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.9411021604653866,4658.645185116938,4559.660793202553,98.98439191438501,4658.645185116928,4559.648474668036,98.99671044889146,-0.012318534506448486
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.9739531446251108,4737.487547100276,4603.102929487841,134.38461761243525,4737.487547100266,4603.075603348585,134.41194375168106,-0.027326139245815284
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.006804128784835,4816.329909083613,4811.782278444288,4.54763063932478,4816.3299090836035,4811.768308607201,4.561600476402418,-0.013969837077638658
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.0396551129445597,4895.172271066951,4854.444462483404,40.7278085835469,4895.172271066944,4854.433451585604,40.738819481339306,-0.01101089779240283
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.072506097104284,4974.014633050287,4889.664985130876,84.34964791941093,4974.014633050282,4889.653377876187,84.36125517409528,-0.011607254684349755
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.105357081264008,5052.856995033622,4928.367509119545,124.4894859140777,5052.85699503362,4928.34855251774,124.50844251587932,-0.0189566018016194
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.1382080654237323,5131.699357016962,5131.645720147695,0.0536368692664837,5131.699357016958,5131.623685903126,0.07567111383195879,-0.022034244565475092
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.1710590495834565,5210.5417190003,5183.802458247575,26.739260752725386,5210.541719000295,5183.795002284407,26.746716715888397,-0.0074559631630108925
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.203910033743181,5289.384080983637,5220.0119072107545,69.37217377288289,5289.384080983635,5220.000698292282,69.38338269135238,-0.011208918469492346
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.2367610179029054,5368.226442966977,5256.305165190239,111.92127777673795,5368.226442966972,5256.28860012178,111.93784284519188,-0.01656506845392869
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.2696120020626296,5447.068804950313,5309.288601427456,137.78020352285694,5447.0688049503115,5309.257141387458,137.81166356285303,-0.03146003999609093
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.302462986222354,5525.911166933652,5511.841822029966,14.069344903685305,5525.911166933649,5511.827985130674,14.08318180297465,-0.013836899289344728
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.335313970382078,5604.753528916993,5550.368122285714,54.385406631278784,5604.753528916987,5550.356220284646,54.397308632341264,-0.01190200106248085
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.368164954541802,5683.595890900325,5585.614042561641,97.98184833868345,5683.595890900326,5585.600103656033,97.99578724429284,-0.01393890560939326
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.4010159387015264,5762.4382528836595,5628.602786986642,133.83546589701746,5762.438252883663,5628.579961791895,133.85829109176848,-0.022825194751021627
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.433866922861251,5841.280614866995,5837.305805664636,3.9748092023592108,5841.280614867002,5837.290466230915,3.9901486360877243,-0.01533943372851354
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.4667179070209753,5920.122976850333,5880.397972447287,39.725004403045205,5920.12297685034,5880.387622053497,39.73535479684324,-0.01035039379803493
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.4995688911806995,5998.965338833674,5915.6534939558,83.31184487787414,5998.965338833679,5915.640907380951,83.32443145272828,-0.012586574854140054
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.5324198753404237,6077.807700817009,5954.126440591467,123.68126022554225,6077.807700817017,5954.109577628337,123.69812318867935,-0.01686296313710045
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.565270859500148,6156.650062800345,6156.432663357935,0.21739944241016929,6156.650062800355,6156.406979307834,0.24308349252078187,-0.02568405011061259
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.598121843659872,6235.492424783677,6209.692854607326,25.799570176351153,6235.4924247836925,6209.680488782185,25.811936001507092,-0.012365825155939092
