reference_protocol,protocol,Q_net_Ah,t_ref_min,t_protocol_min,Delta_t_Q_min
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4902562230633574,87.67130685451845,87.68784990308549,-0.01654304856704414
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4918867003314793,87.76722732014288,87.79720232692878,-0.0299750067859037
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.493517177599601,87.8631476806505,87.90669337547851,-0.04354569482801196
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.495147654867723,87.95906710585528,87.9409323211961,0.018134784659181946
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4967781321358447,88.05498660399864,88.04888599377921,0.006100610219434088
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4984086094039666,88.15090576111403,88.15717594430008,-0.006270183186046552
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5000390866720885,88.24682497919402,88.26663440667649,-0.019809427482471165
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5016695639402102,88.34274444509451,88.37620885282658,-0.033464407732068935
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5033000412083322,88.43866420645243,88.4222215880502,0.016442618402223275
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5049305184764539,88.5345840687464,88.51955854106676,0.01502552767964005
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5065609957445758,88.63050429773547,88.62729695948936,0.0032073382461135225
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5081914730126975,88.72642417037792,88.73599344655145,-0.009569276173522212
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5098219502808194,88.82234407323291,88.84558953383103,-0.02324546059811894
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5114524275489414,88.91826466966225,88.95473119052066,-0.0364665208584114
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.513082904817063,89.0141850418025,88.99568265287496,0.01850238892754419
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.514713382085185,89.11010558645238,89.0982107386629,0.01189484778947758
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5163438593533067,89.20602595885121,89.20538099045599,0.0006449683952212126
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5179743366214287,89.3019467537146,89.31493989132244,-0.012993137607836047
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5196048138895504,89.39786719492994,89.4244646121244,-0.026597417194452078
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5212352911576723,89.49378741408448,89.53288897935809,-0.03910156527361153
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.522865768425794,89.58970785132523,89.57024718541209,0.01946066591314377
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.524496245693916,89.68562805409556,89.67577688010911,0.009851173986447748
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5261267229620379,89.78154864073053,89.78436082609308,-0.0028121853625435733
