protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.36,1.9794477572368123,0.601988066913691,1.377459690323121,1.0724480023241085,0.9069997549127038,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.37,2.3051525168993976,0.8562936182856902,1.4488588986137074,1.1806765674079998,1.1244759494913978,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.38,2.6353088289413336,1.1201779328659995,1.515130896075334,1.268554249816816,1.3667545791245175,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.39,2.9588989586479784,1.3910709474669147,1.5678280111810636,1.3274310690553648,1.6314678895926136,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.4,3.2785072173132903,1.6669251094731408,1.6115821078401495,1.3714109964432737,1.9070962208700166,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.41,3.5910737640149364,1.9460257456089496,1.645048018405987,1.3990654924793944,2.192008271535542,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.42,3.89534553018143,2.2268485685863197,1.6684969615951104,1.3704938542391574,2.5248516759422728,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.43,4.1852730557461655,2.507941542645767,1.6773315131003983,1.2869194616025652,2.8983535941436003,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.44,4.460528926819279,2.787813951752014,1.6727149750672652,1.1904678774551485,3.2700610493641307,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.45,4.719075710797597,3.0648168632785655,1.6542588475190314,1.1078712433304645,3.6112044674671324,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
