param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,Q_nom_Ah,Q_to_Vmax_protocol_Ah,Q_to_Vmax_DC_ref_Ah,Q_low_Ah,Q_hi_Ah,window_width_Ah,t_charge_DC_ref_s,feasibility_verdict_protocol,feasibility_verdict_DC_ref,low_voltage_class_protocol,low_voltage_class_DC_ref,window_status,n_Q_grid,dtQ_min_s,dtQ_max_s,dtQ_mean_s,dtQ_median_s,dtQ_max_abs_s,n_pos,n_neg,n_zero,dtQ_fraction_positive,A_delta_t_area_sAh,A_delta_t_mean_s,sign_class_abs,sign_class_rel
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,4.440969167982452,4.600067034976743,0.25,4.340969167982452,4.090969167982452,16560.241325916275,feasible_clean,feasible_clean,clean,clean,ok,100,-46.36526439949921,-1.0855198277904492,-22.804551220949143,-22.136916055305846,46.36526439949921,0,100,0,0.0,-93.28640345478283,-22.80300819299232,near_zero,near_zero
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,4.45419409709745,4.600067034976743,0.25,4.354194097097451,4.104194097097451,16560.241325916275,feasible_clean,feasible_clean,clean,clean,ok,100,-425.7970910412878,-0.28551808445081406,-198.30578922654684,-202.79374154127947,425.7970910412878,0,100,0,0.0,-811.2476563527259,-197.66308248590212,negative_only,negative_only
Mohtat2020,graphite/NMC532,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,4.296730731965822,4.600067034976743,0.25,4.196730731965823,3.9467307319658227,16560.241325916275,feasible_clean,feasible_clean,clean,clean,ok,100,-69.82654813115732,-1.2033216580900898,-35.68045248831703,-35.52602173967637,69.82654813115732,0,100,0,0.0,-141.71294963303515,-35.90641451296818,negative_only,near_zero
NCA_Kim2011,graphite/NCA,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.43,0.4558301451933962,0.4558301451933962,0.021500000000000002,0.4472301451933962,0.4257301451933962,19081.26189181659,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,0.43,0.45244315156550274,0.4558301451933962,0.021500000000000002,0.44384315156550275,0.42234315156550273,19081.26189181659,feasible_clean,feasible_clean,clean,clean,ok,100,-42.62714537444754,1.7989654306038574,-18.7071718536291,-17.931394680603717,42.62714537444754,6,94,0,0.06,-7.9224445657721,-18.758311899709778,near_zero,near_zero
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,0.43,0.45106833128427243,0.4558301451933962,0.021500000000000002,0.44246833128427243,0.4209683312842724,19081.26189181659,feasible_clean,feasible_clean,clean,clean,ok,100,-437.83935563879277,-5.412718425475759,-203.58112793047957,-196.29730004359953,437.83935563879277,0,100,0,0.0,-85.53516101136879,-203.18668805898469,negative_only,negative_only
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.43,0.4488956474175573,0.4558301451933962,0.021500000000000002,0.4402956474175573,0.41879564741755726,19081.26189181659,feasible_clean,feasible_clean,clean,clean,ok,100,-50.62816888618909,2.396030109623098,-22.58338235413026,-21.779217974085896,50.62816888618909,4,96,0,0.04,-9.46798843336753,-22.607657199282063,near_zero,near_zero
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.43,0.44460490234929706,0.4558301451933962,0.021500000000000002,0.43600490234929706,0.41450490234929704,19081.26189181659,feasible_clean,feasible_clean,clean,clean,ok,100,-502.34752275718756,-24.962015427805454,-256.9066080475527,-253.3225465107173,502.34752275718756,0,100,0,0.0,-105.91024097263023,-255.51022526479377,negative_only,negative_only
OKane2022,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,4.557025794657848,4.557025794657848,0.25,4.457025794657849,4.207025794657849,16405.292860768255,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
OKane2022,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,3.9548900172390193,4.557025794657848,0.25,3.8548900172390193,3.6048900172390193,16405.292860768255,feasible_clean,feasible_clean,clean,clean,ok,100,-54.91564452412058,-2.035892794133815,-27.378671655884883,-26.64594020471486,54.91564452412058,0,100,0,0.0,-98.72799776379806,-27.387242687479745,near_zero,near_zero
