Q_Ah,t_full_s,t_even_s,t_odd_s,dt_even_minus_odd_s,dt_full_minus_even_s,dt_full_minus_odd_s
1.1300000000000001,3988.657473423706,3988.6575300875493,3989.6573603583133,-0.9998302707640505,-5.666384322466911e-05,-0.9998869346072752
1.1400000000000001,4023.955014944993,4023.9550569735247,4024.9549058980992,-0.9998489245745077,-4.202853187962319e-05,-0.9998909531063873
1.1500000000000001,4059.2526333722053,4059.252663473213,4060.2525407675384,-0.9998772943254153,-3.0101007723715156e-05,-0.999907395333139
1.1600000000000001,4094.5502682374713,4094.5502830658543,4095.550196833603,-0.9999137677486942,-1.4828382973064436e-05,-0.9999285961316673
1.1700000000000002,4129.84789800286,4129.84792186323,4130.847807943841,-0.9998860806108496,-2.3860369765316136e-05,-0.9999099409806149
1.1800000000000002,4165.145234851485,4165.145258689996,4166.145134558115,-0.9998758681194886,-2.3838510969653726e-05,-0.9998997066304582
1.1900000000000002,4200.442599148246,4200.442642178013,4201.442491224634,-0.9998490466214207,-4.30297668572166e-05,-0.9998920763882779
1.2000000000000002,4235.7399982351335,4235.740051965495,4236.739878498849,-0.9998265333542804,-5.373036128730746e-05,-0.9998802637155677
1.21,4271.0374403986225,4271.037444295952,4272.037373210486,-0.9999289145343937,-3.897329406754579e-06,-0.9999328118638005
1.22,4306.335058351161,4306.3350489334525,4307.335010121127,-0.9999611876746712,9.417708497494459e-06,-0.9999517699661737
1.23,4341.6326793162425,4341.63266676602,4342.632633133283,-0.9999663672633687,1.2550222891150042e-05,-0.9999538170404776
1.24,4376.93022546217,4376.930189424781,4377.930198739392,-1.0000093146109066,3.603738878155127e-05,-0.999973277222125
1.25,4412.22777537013,4412.2277624985145,4413.22772671073,-0.9999642122156729,1.2871615581389051e-05,-0.9999513406000915
1.26,4447.525500824835,4447.525478467666,4448.525470564992,-0.9999920973259577,2.2357168745656963e-05,-0.9999697401572121
1.27,4482.8232389152945,4482.823211167401,4483.823215316108,-1.0000041487073759,2.77478939096909e-05,-0.9999764008134662
1.28,4518.120961740396,4518.120941944825,4519.12092069901,-0.9999787541846672,1.97955705516506e-05,-0.9999589586141155
1.29,4553.418692399285,4553.41866730202,4554.41866274535,-0.9999954433296807,2.5097264369833283e-05,-0.9999703460653109
1.3,4588.71629032036,4588.716225854177,4589.716294888744,-1.0000690345677867,6.446618317568209e-05,-1.000004568384611
1.31,4624.013916379255,4624.01384086675,4625.0139275158335,-1.0000866490836415,7.55125047362526e-05,-1.0000111365789053
1.32,4659.3114362836395,4659.311385724088,4660.311424049981,-1.0000383258930015,5.0559551709739026e-05,-0.9999877663412917
1.33,4694.609167788504,4694.609125395687,4695.60914941776,-1.0000240220724663,4.239281679474516e-05,-0.9999816292556716
1.34,4729.907026770767,4729.906950035982,4730.90703668751,-1.0000866515283633,7.673478467040695e-05,-1.0000099167436929
1.35,4765.204899748885,4765.204813705399,4766.204935590967,-1.0001218855677507,8.604348568042042e-05,-1.0000358420820703
1.36,4800.502650421183,4800.502559912853,4801.502685614332,-1.0001257014791918,9.050832977663958e-05,-1.0000351931494151
1.37,4835.800332189253,4835.8002279145,4836.800378909512,-1.0001509950116088,0.00010427475262986263,-1.000046720258979
1.3800000000000001,4871.098060577047,4871.097954496316,4872.098112200225,-1.0001577039092808,0.00010608073171169963,-1.0000516231775691
1.3900000000000001,4906.395821432582,4906.395713130829,4907.395872867554,-1.0001597367254362,0.00010830175324372249,-1.0000514349721925
1.4000000000000001,4941.693835569745,4941.693723168151,4942.693904113653,-1.0001809455015973,0.00011240159346925793,-1.000068543908128
1.4100000000000001,4976.99189118035,4976.991768597289,4977.99196865333,-1.000200056041649,0.00012258306105650263,-1.0000774729805926
1.4200000000000002,5012.289997936022,5012.289838981525,5013.290106938373,-1.000267956848802,0.00015895449723757338,-1.0001090023515644
1.4300000000000002,5047.588072774246,5047.58790977297,5048.5881843861935,-1.000274613223155,0.000163001275723218,-1.0001116119474318
1.4400000000000002,5082.886065036087,5082.885872194429,5083.886200981477,-1.0003287870476925,0.0001928416577356984,-1.0001359453899568
1.4500000000000002,5118.183777887571,5118.183582386621,5119.183908781346,-1.0003263947246523,0.0001955009493030957,-1.0001308937753493
1.46,5153.481247254621,5153.481088009362,5154.481339901278,-1.0002518919163776,0.00015924525905575138,-1.000092646657322
1.47,5188.778642902327,5188.778501390567,5189.778713759059,-1.0002123684926119,0.0001415117603755789,-1.0000708567322363
1.48,5224.076326559405,5224.076189656775,5225.076405500768,-1.000215843992919,0.00013690263040189166,-1.000078941362517
1.49,5259.373998815539,5259.373850417491,5260.374095051243,-1.0002446337521178,0.0001483980486227665,-1.000096235703495
1.5,5294.671533251767,5294.6713641397455,5295.671635683544,-1.0002715437985898,0.0001691120214672992,-1.0001024317771225
1.51,5329.96912302752,5329.968967275369,5330.969230131911,-1.0002628565416671,0.00015575215093122097,-1.000107104390736
1.52,5365.266948884961,5365.266823921718,5366.267011586953,-1.0001876652349893,0.00012496324234234635,-1.000062701992647
1.53,5400.564721864318,5400.564607235945,5401.5647849071,-1.0001776711551429,0.00011462837301223772,-1.0000630427821307
1.54,5435.862513377638,5435.862417773231,5436.862558658291,-1.0001408850603184,9.560440685163485e-05,-1.0000452806534668
1.55,5471.160254791783,5471.1601826958085,5472.160276607181,-1.0000939113724598,7.209597424662206e-05,-1.0000218153982132
1.56,5506.458053148689,5506.457966379882,5507.458091032236,-1.0001246523534064,8.676880679558963e-05,-1.0000378835466108
1.57,5541.755946372441,5541.755868187612,5542.755982711773,-1.0001145241612903,7.81848293627263e-05,-1.0000363393319276
1.58,5577.054096838442,5577.054049314501,5578.054101896107,-1.0000525816058143,4.752394124807324e-05,-1.0000050576645663
1.59,5612.352289998657,5612.352219681087,5613.35232049018,-1.0001008090930554,7.031757013464812e-05,-1.0000304915229208
1.6,5647.650447235938,5647.650421055878,5648.650432771721,-1.0000117158433568,2.6180060558544938e-05,-0.9999855357827983
1.61,5682.948457951717,5682.948411506255,5683.948453977708,-1.0000424714526162,4.64454615212162e-05,-0.9999960259910949
1.62,5718.246345427219,5718.246322419143,5719.24632107024,-0.9999986510965755,2.3008075913821813e-05,-0.9999756430206617
1.6300000000000001,5753.54426180481,5753.544242832183,5754.544230097031,-0.9999872648477321,1.897262700367719e-05,-0.9999682922207285
1.6400000000000001,5788.842200170684,5788.8422012569,5789.842148614073,-0.9999473571733688,-1.0862158887903206e-06,-0.9999484433892576
1.6500000000000001,5824.140219200947,5824.140241389009,5825.1401454368315,-0.9999040478223833,-2.2188061848282814e-05,-0.9999262358842316
1.6600000000000001,5859.438230929445,5859.438235311415,5860.438170859835,-0.9999355484196712,-4.381970029498916e-06,-0.9999399303897007
1.6700000000000002,5894.736109580421,5894.73611217876,5895.736054945039,-0.9999427662787639,-2.5983390514738858e-06,-0.9999453646178154
1.6800000000000002,5930.0340698528125,5930.034099300163,5931.03399268646,-0.9998933862971171,-2.9447350243572146e-05,-0.9999228336473607
1.6900000000000002,5965.331999980366,5965.332037751161,5966.331914761148,-0.9998770099873582,-3.7770794733660296e-05,-0.9999147807820918
1.7000000000000002,6000.629843208098,6000.6298754615045,6001.629762714262,-0.9998872527576168,-3.225340697099455e-05,-0.9999195061645878
1.7100000000000002,6035.927854768629,6035.927884017182,6036.927777456397,-0.9998934392151568,-2.924855289165862e-05,-0.9999226877680485
1.72,6071.225862460298,6071.225898459133,6072.225778284374,-0.9998798252418055,-3.5998834391648415e-05,-0.9999158240761972
1.73,6106.523849738309,6106.523894904242,6107.523760389029,-0.9998654847868238,-4.516593344305875e-05,-0.9999106507202669
1.74,6141.821851201433,6141.821877854168,6142.821771405858,-0.9998935516905476,-2.6652734959498048e-05,-0.9999202044255071
1.75,6177.119718910568,6177.119750256885,6178.119636579352,-0.9998863224673187,-3.1346316973213106e-05,-0.9999176687842919
1.76,6212.417683761132,6212.417733913586,6213.417585180762,-0.999851267176382,-5.015245369577315e-05,-0.9999014196300777
1.77,6247.715586772596,6247.715641213567,6248.715479968907,-0.9998387553396242,-5.444097132567549e-05,-0.9998931963109499
1.78,6283.013609395496,6283.013670228644,6284.013494896043,-0.99982466739948,-6.083314747229451e-05,-0.9998855005469522
1.79,6318.3114966206995,6318.311555346816,6319.311389938307,-0.9998345914909805,-5.872611654922366e-05,-0.9998933176075298
1.8,6353.60957875517,6353.609620573749,6354.609496539804,-0.9998759660547876,-4.1818579120445065e-05,-0.999917784633908
1.81,6388.907547887591,6388.907611593462,6389.907431809031,-0.9998202155684339,-6.370587107085157e-05,-0.9998839214395048
1.82,6424.205260693762,6424.205331833189,6425.205130157312,-0.9997983241228212,-7.113942683645291e-05,-0.9998694635496577
1.83,6459.5028979709305,6459.502946652861,6460.502800942071,-0.9998542892099067,-4.8681930820748676e-05,-0.9999029711407275
1.84,6494.800748898032,6494.800807383868,6495.800631386057,-0.9998240021886886,-5.848583623446757e-05,-0.9998824880249231
1.85,6530.098554754581,6530.098588728653,6531.098464747692,-0.9998760190383109,-3.3974072721321136e-05,-0.9999099931110322
1.86,6565.396365984185,6565.396435935674,6566.39624259789,-0.999806662215633,-6.99514894222375e-05,-0.9998766137050552
1.87,6600.694199178316,6600.694243113113,6601.694096840421,-0.999853727307709,-4.3934796849498525e-05,-0.9998976621045585
1.8800000000000001,6635.991910621972,6635.9919603978815,6636.99181162498,-0.9998512270985884,-4.977590924681863e-05,-0.9999010030078352
1.8900000000000001,6671.289663236073,6671.289709216017,6672.2895575107705,-0.9998482947530647,-4.5979944843566045e-05,-0.9998942746979083
1.9000000000000001,6706.587187168906,6706.587249754386,6707.587071586655,-0.9998218322689354,-6.258548000914743e-05,-0.9998844177489445
1.9100000000000001,6741.885208461079,6741.885221145747,6742.885147452334,-0.9999263065874402,-1.2684668035944924e-05,-0.9999389912554761
1.9200000000000002,6777.183183137372,6777.183187623388,6778.183130230682,-0.999942607293633,-4.486016223381739e-06,-0.9999470933098564
1.9300000000000002,6812.481211019174,6812.481213381593,6813.481158967003,-0.9999455854094776,-2.3624188543180935e-06,-0.999947947828332
1.9400000000000002,6847.778961487549,6847.778967509843,6848.778906316659,-0.9999388068163171,-6.02229374635499e-06,-0.9999448291100634
1.9500000000000002,6883.076634137186,6883.0766256069255,6884.076582387095,-0.9999567801696685,8.530260856787208e-06,-0.9999482499088117
1.9600000000000002,6918.374283284042,6918.374284866863,6919.374229551548,-0.9999446846850333,-1.5828209143364802e-06,-0.9999462675059476
1.97,6953.671915420766,6953.671910308457,6954.671867719862,-0.9999574114053758,5.112308826937806e-06,-0.9999522990965488
1.98,6988.969545861205,6988.969538933832,6989.969495444908,-0.9999565110756521,6.92737285135081e-06,-0.9999495837028007
1.99,7024.26720513341,7024.267178530072,7025.267172059619,-0.9999935295472824,2.6603338483255357e-05,-0.9999669262087991
2.0,7059.564883522066,7059.564857210369,7060.564857232941,-1.0000000225718395,2.6311697183700744e-05,-0.9999737108746558
2.01,7094.862651284009,7094.862643586592,7095.862604734912,-0.999961148319926,7.697417458985001e-06,-0.999953450902467
2.02,7130.160213776468,7130.160212452304,7131.160161016908,-0.999948564603983,1.3241633496363647e-06,-0.9999472404406333
2.03,7165.457885605381,7165.457871919859,7166.457837517737,-0.9999655978781448,1.3685522390005644e-05,-0.9999519123557548
2.04,7200.755673144131,7200.755663769784,7201.7556293377875,-0.9999655680030628,9.374346518598031e-06,-0.9999561936565442
2.05,7236.053428829995,7236.0534558848,7237.053344504416,-0.9998886196153762,-2.7054805286752526e-05,-0.999915674420663
2.06,7271.351084794642,7271.351083937237,7272.351030766376,-0.9999468291398443,8.574052117182873e-07,-0.9999459717346326
2.07,7306.6487519101265,7306.648726221286,7307.6487280553565,-1.0000018340706447,2.5688840651127975e-05,-0.9999761452299936
2.08,7341.9464272337755,7341.946411236022,7342.946392030572,-0.9999807945496286,1.5997753507690504e-05,-0.9999647967961209
2.09,7377.244227422372,7377.244195100091,7378.244206641504,-1.000011541413187,3.232228118577041e-05,-0.9999792191320012
2.0999999999999996,7412.541797251904,7412.541767150764,7413.541774063253,-1.0000069124889706,3.0101140509941615e-05,-0.9999768113484606
2.11,7447.839565779507,7447.839530433892,7448.8395483940385,-1.0000179601465788,3.534561528795166e-05,-0.9999826145312909
2.1199999999999997,7483.137449559974,7483.137413177417,7484.1374308753175,-1.000017697900148,3.6382556572789326e-05,-0.9999813153435753
2.13,7518.435263191749,7518.435247408541,7519.435230659352,-0.9999832508110558,1.578320825501578e-05,-0.9999674676028008
2.1399999999999997,7553.733233519037,7553.733168642765,7554.733240202796,-1.0000715600308467,6.48762716082274e-05,-1.0000066837592385
2.15,7589.0310736028705,7589.030998885656,7590.0310978025245,-1.00009891686841,7.471721437468659e-05,-1.0000241996540353
2.1599999999999997,7624.328807104732,7624.328721241413,7625.328836736396,-1.0001154949823103,8.586331841797801e-05,-1.0000296316638924
2.17,7659.626626619976,7659.626527609715,7660.626682671694,-1.0001550619790578,9.901026169245597e-05,-1.0000560517173653
2.1799999999999997,7694.924547071986,7694.924464464023,7695.924577810493,-1.0001133464702434,8.260796312242746e-05,-1.000030738507121
2.19,7730.222554182689,7730.22249980266,7731.222562515424,-1.0000627127637927,5.438002881419379e-05,-1.0000083327349785
2.1999999999999997,7765.520620143234,7765.5205397728205,7766.5206445084805,-1.0001047356599884,8.037041334318928e-05,-1.0000243652466452
2.21,7800.818570428517,7800.818483491068,7801.8186014828125,-1.000117991744446,8.693744894117117e-05,-1.0000310542955049
2.2199999999999998,7836.116433293249,7836.1163607447825,7837.116453899052,-1.0000931542699618,7.254846696014283e-05,-1.0000206058030017
