branch_id,search_term,variable_key
double_layer_differential,sei,Loss of capacity to positive SEI on cracks [A.h]
double_layer_differential,sei,Loss of lithium to negative SEI [mol]
double_layer_differential,sei,Loss of lithium to negative SEI on cracks [mol]
double_layer_differential,sei,Loss of lithium to positive SEI [mol]
double_layer_differential,sei,Loss of lithium to positive SEI on cracks [mol]
double_layer_differential,sei,Negative SEI concentration [mol.m-3]
double_layer_differential,sei,Negative SEI on cracks concentration [mol.m-3]
double_layer_differential,sei,Negative SEI on cracks thickness [m]
double_layer_differential,sei,Negative SEI thickness [m]
double_layer_differential,sei,Negative electrode SEI film overpotential [V]
double_layer_differential,sei,Negative electrode SEI interfacial current density [A.m-2]
double_layer_differential,sei,Negative electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,sei,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,sei,Negative electrode SEI volumetric interfacial current density [A.m-3]
double_layer_differential,sei,Positive SEI concentration [mol.m-3]
double_layer_differential,sei,Positive SEI on cracks concentration [mol.m-3]
double_layer_differential,sei,Positive SEI on cracks thickness [m]
double_layer_differential,sei,Positive SEI thickness [m]
double_layer_differential,sei,Positive electrode SEI film overpotential [V]
double_layer_differential,sei,Positive electrode SEI interfacial current density [A.m-2]
double_layer_differential,sei,Positive electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,sei,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,sei,Positive electrode SEI volumetric interfacial current density [A.m-3]
double_layer_differential,sei,Volume-averaged negative SEI concentration [mol.m-3]
double_layer_differential,sei,Volume-averaged negative SEI on cracks concentration [mol.m-3]
double_layer_differential,sei,Volume-averaged negative SEI on cracks thickness [m]
double_layer_differential,sei,Volume-averaged negative SEI thickness [m]
double_layer_differential,sei,Volume-averaged positive SEI concentration [mol.m-3]
double_layer_differential,sei,Volume-averaged positive SEI on cracks concentration [mol.m-3]
double_layer_differential,sei,Volume-averaged positive SEI on cracks thickness [m]
double_layer_differential,sei,Volume-averaged positive SEI thickness [m]
double_layer_differential,sei,X-averaged SEI film overpotential [V]
double_layer_differential,sei,X-averaged negative SEI concentration [mol.m-3]
double_layer_differential,sei,X-averaged negative SEI on cracks concentration [mol.m-3]
double_layer_differential,sei,X-averaged negative SEI on cracks thickness [m]
double_layer_differential,sei,X-averaged negative SEI thickness [m]
double_layer_differential,sei,X-averaged negative electrode SEI film overpotential [V]
double_layer_differential,sei,X-averaged negative electrode SEI interfacial current density [A.m-2]
double_layer_differential,sei,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,sei,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,sei,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
double_layer_differential,sei,X-averaged positive SEI concentration [mol.m-3]
double_layer_differential,sei,X-averaged positive SEI on cracks concentration [mol.m-3]
