path,name,suffix,size_kb,read_ok,n_rows,n_cols,columns,freq_like_cols,tau_like_cols,protocol_like_cols,param_like_cols,error
data/day18_step1_anchor_trajectories_v3.npz,day18_step1_anchor_trajectories_v3.npz,.npz,3898.12,False,,,,,,,,
data/day18_step1_phase_audit_matrix_v4_charge_first.csv,day18_step1_phase_audit_matrix_v4_charge_first.csv,.csv,3.4,True,1.0,36.0,"[""param_set"", ""protocol"", ""phase_label"", ""anchor_label"", ""DC_rate_C"", ""AC_rate_C"", ""n_tau"", ""tau95_eq_s"", ""T_anchor_s"", ""f_anchor_Hz"", ""Q_nom_Ah"", ""feasibility_verdict"", ""term_reason"", ""termination_raw"", ""wall_s"", ""t_end_s"", ""V_init_V"", ""V_min_obs"", ""V_max_obs"", ""frac_below_Vmin"", ""frac_above_Vmax"", ""Q_to_Vmax_Ah"", ""t_to_Vmax_s"", ""Q_net_end_Ah"", ""V_max_cutoff"", ""V_min_cutoff"", ""V_headroom_to_Vmax_init_V"", ""V_headroom_to_Vmin_init_V"", ""I_initial_A"", ""I_first_nonzero_A"", ""I_min_first_period_A"", ""I_max_first_period_A"", ""I_initial_C"", ""I_first_nonzero_C"", ""I_min_first_period_C"", ""I_max_first_period_C""]",[],"[""n_tau"", ""tau95_eq_s""]","[""protocol"", ""phase_label"", ""anchor_label"", ""T_anchor_s"", ""f_anchor_Hz""]","[""param_set""]",
data/day18_step1_phase_audit_trajectories_v4_charge_first.npz,day18_step1_phase_audit_trajectories_v4_charge_first.npz,.npz,1282.29,False,,,,,,,,
data/day18_step1c_event_phase_audit_v3.csv,day18_step1c_event_phase_audit_v3.csv,.csv,0.52,True,1.0,11.0,"[""param_set"", ""T_period_s"", ""t_end_DCAC_s"", ""n_periods_at_term"", ""sin_omega_tend"", ""I_end_A"", ""I_end_C"", ""phase_label"", ""Q_to_Vmax_DC_Ah"", ""Q_to_Vmax_DCAC_Ah"", ""Q_reduction_pct""]",[],[],"[""phase_label""]","[""param_set""]",
data/day18_step1c_first_passage_dV_audit_v3.csv,day18_step1c_first_passage_dV_audit_v3.csv,.csv,0.39,True,1.0,12.0,"[""param_set"", ""Q_nom_Ah"", ""q_lo_Ah"", ""q_hi_Ah"", ""n_grid"", ""n_valid"", ""dV_median_V"", ""dV_mean_V"", ""dV_max_V"", ""dV_min_V"", ""frac_dV_positive"", ""frac_dV_above_10mV""]",[],[],[],"[""param_set""]",
data/day18_step2_dt_Q_audit_v3.csv,day18_step2_dt_Q_audit_v3.csv,.csv,7.08,True,1.0,59.0,"[""param_set"", ""anchor_label"", ""Q_nom_Ah"", ""tau95_eq_s"", ""T_period_s"", ""f_anchor_Hz"", ""Q_sinusoidal_ripple_amp_Ah"", ""rel_ripple_pct_window"", ""q_lo_full_Ah"", ""q_lo_stable_added_Ah"", ""q_hi_Ah"", ""stable_window_definition"", ""n_grid"", ""n_valid"", ""t_end_DC_s"", ""t_end_DCAC_s"", ""event_shift_s"", ""Q_to_Vmax_DC_Ah"", ""Q_to_Vmax_DCAC_Ah"", ""Q_to_Vmax_shift_Ah"", ""Q_to_Vmax_shift_pct"", ""full_n"", ""full_status"", ""full_mean_s"", ""full_median_s"", ""full_area_sAh"", ""full_min_s"", ""full_max_s"", ""full_range_s"", ""full_frac_positive"", ""full_frac_above_thr"", ""full_frac_below_thr"", ""full_n_cross"", ""full_mean_early_s"", ""full_mean_mid_s"", ""full_mean_late_s"", ""full_t_dc_avg_s"", ""full_rel_signal_pct"", ""full_class_mean"", ""full_sign_topology"", ""stable_n"", ""stable_status"", ""stable_mean_s"", ""stable_median_s"", ""stable_area_sAh"", ""stable_min_s"", ""stable_max_s"", ""stable_range_s"", ""stable_frac_positive"", ""stable_frac_above_thr"", ""stable_frac_below_thr"", ""stable_n_cross"", ""stable_mean_early_s"", ""stable_mean_mid_s"", ""stable_mean_late_s"", ""stable_t_dc_avg_s"", ""stable_rel_signal_pct"", ""stable_class_mean"", ""stable_sign_topology""]",[],"[""tau95_eq_s""]","[""anchor_label"", ""f_anchor_Hz""]","[""param_set""]",
data/day18_step2_dt_Q_audit_v4_charge_first.csv,day18_step2_dt_Q_audit_v4_charge_first.csv,.csv,4.26,True,1.0,71.0,"[""param_set"", ""anchor_label"", ""phase_label"", ""Q_nom_Ah"", ""T_period_s"", ""f_anchor_Hz"", ""Q_sinusoidal_ripple_amp_Ah"", ""rel_ripple_pct_window"", ""q_lo_full_Ah"", ""q_lo_stable_added_Ah"", ""q_hi_Ah"", ""stable_window_definition"", ""n_grid"", ""n_valid"", ""t_end_DC_s"", ""t_end_DCAC_s"", ""event_shift_s"", ""Q_to_Vmax_DC_Ah"", ""Q_to_Vmax_DCAC_Ah"", ""Q_to_Vmax_shift_Ah"", ""Q_to_Vmax_shift_pct"", ""full_n"", ""full_status"", ""full_mean_s"", ""full_median_s"", ""full_area_sAh"", ""full_min_s"", ""full_max_s"", ""full_range_s"", ""full_frac_positive"", ""full_frac_above_thr"", ""full_frac_below_thr"", ""full_n_cross"", ""full_mean_early_s"", ""full_mean_mid_s"", ""full_mean_late_s"", ""full_t_dc_avg_s"", ""full_rel_signal_pct"", ""full_class_mean"", ""full_sign_topology"", ""full_geom_mean_s"", ""full_geom_sign_topology"", ""full_resid_mean_s"", ""full_resid_max_abs_s"", ""full_resid_class_mean"", ""full_resid_sign_topology"", ""stable_n"", ""stable_status"", ""stable_mean_s"", ""stable_median_s"", ""stable_area_sAh"", ""stable_min_s"", ""stable_max_s"", ""stable_range_s"", ""stable_frac_positive"", ""stable_frac_above_thr"", ""stable_frac_below_thr"", ""stable_n_cross"", ""stable_mean_early_s"", ""stable_mean_mid_s"", ""stable_mean_late_s"", ""stable_t_dc_avg_s"", ""stable_rel_signal_pct"", ""stable_class_mean"", ""stable_sign_topology"", ""stable_geom_mean_s"", ""stable_geom_sign_topology"", ""stable_resid_mean_s"", ""stable_resid_max_abs_s"", ""stable_resid_class_mean"", ""stable_resid_sign_topology""]",[],[],"[""anchor_label"", ""phase_label"", ""f_anchor_Hz""]","[""param_set""]",
data/day18_step2_dt_Q_curves_long_v3.csv.gz,day18_step2_dt_Q_curves_long_v3.csv.gz,.csv.gz,27.42,True,1.0,12.0,"[""param_set"", ""anchor_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",[],[],"[""anchor_label"", ""protocol_DC"", ""protocol_DCAC""]","[""param_set""]",
data/day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,.csv.gz,16.06,True,1.0,15.0,"[""param_set"", ""anchor_label"", ""phase_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""dtQ_geom_s"", ""dtQ_resid_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",[],[],"[""anchor_label"", ""phase_label"", ""protocol_DC"", ""protocol_DCAC""]","[""param_set""]",
data/day18_step2_dt_Q_v3_vs_v4_common_window.csv,day18_step2_dt_Q_v3_vs_v4_common_window.csv,.csv,0.75,True,1.0,15.0,"[""param_set"", ""v3_status"", ""common_q_hi_Ah"", ""v3_full_mean_s"", ""v3_geom_mean_s"", ""v3_resid_mean_s"", ""v3_resid_max_abs_s"", ""v3_topology"", ""v3_resid_topology"", ""v4_full_mean_s"", ""v4_geom_mean_s"", ""v4_resid_mean_s"", ""v4_resid_max_abs_s"", ""v4_topology"", ""v4_resid_topology""]",[],[],[],"[""param_set""]",
data/day19A_step1_day18B_smoke_identity_resid_magnitude_audit.csv,day19A_step1_day18B_smoke_identity_resid_magnitude_audit.csv,.csv,0.79,True,1.0,22.0,"[""file"", ""n_rows"", ""n_valid"", ""max_abs_identity_err_s"", ""median_identity_err_s"", ""identity_status"", ""dt_resid_max_abs_s"", ""dt_resid_p95_abs_s"", ""dt_resid_median_abs_s"", ""resid_over_geom_median"", ""resid_over_geom_p95"", ""resid_over_geom_max"", ""resid_over_model_median"", ""resid_over_model_p95"", ""resid_over_model_max"", ""dt_model_mean_s"", ""dt_geom_mean_s"", ""dt_resid_mean_s"", ""dt_model_median_s"", ""dt_geom_median_s"", ""dt_resid_median_s"", ""residual_magnitude_status""]",[],[],[],[],
data/day19A_step1_day18B_smoke_resid_magnitude_by_pair.csv,day19A_step1_day18B_smoke_resid_magnitude_by_pair.csv,.csv,3.3,True,1.0,10.0,"[""param_set"", ""protocol_label"", ""n"", ""dt_model_median_s"", ""dt_geom_median_s"", ""dt_resid_median_s"", ""dt_resid_max_abs_s"", ""dt_resid_p95_abs_s"", ""resid_over_geom_median"", ""resid_over_geom_max""]",[],[],"[""protocol_label""]","[""param_set""]",
data/results_day8_x2_dfn_mj1freq.csv,results_day8_x2_dfn_mj1freq.csv,.csv,7.75,True,1.0,21.0,"[""condition"", ""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""status"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""T_max_charging_C"", ""pct_AC_reversals"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""n_AC_reversals_steps"", ""CC_time_s_partial"", ""T_max_charging_C_partial"", ""V_min_phase2""]","[""f_Hz""]",[],"[""condition""]",[],
data/results_day8_x2_dfn_mj1freq_v2.csv,results_day8_x2_dfn_mj1freq_v2.csv,.csv,8.04,True,1.0,22.0,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""T_max_charging_C"", ""n_AC_reversals_steps"", ""pct_AC_reversals"", ""status"", ""condition"", ""tau_label"", ""CC_time_s_partial"", ""T_max_charging_C_partial"", ""V_min_phase2""]","[""f_Hz""]","[""tau_label""]","[""condition"", ""tau_label""]",[],
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,.json,25904.16,True,31.0,22.0,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""Q_net_trajectory"", ""t_chg"", ""I_chg"", ""T_max_charging_C"", ""n_AC_reversals_steps"", ""pct_AC_reversals"", ""status"", ""condition"", ""tau_label""]","[""f_Hz""]","[""tau_label""]","[""condition"", ""tau_label""]",[],
