case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.90C+AC0.10C_f0.00086Hz_X5beta,0.9,0.1,0.00086,0.11111111111111112,1.0030479431152344,2.512422948941947,2.693082277787431,2998.0769261274636,4783.15763728664,7781.234563414104,49.96794876879106,79.71929395477734,129.6872427235684,5125.320129442065,ok,0.9+0.1C 16.7τ,16.7τ,X5beta
DC0.90C+AC0.10C_f0.00860Hz_X5beta,0.9,0.1,0.0086,0.11111111111111112,1.2962210178375244,2.512422948941947,2.700693699398981,2988.5241796529463,4758.342684278314,7746.86686393126,49.808736327549106,79.30571140463856,129.11444773218767,5125.162015415281,ok,0.9+0.1C 1.67τ,1.67τ,X5beta
DC0.90C+AC0.10C_f0.00143Hz_X5beta,0.9,0.1,0.00143,0.11111111111111112,1.095919132232666,2.512422948941947,2.69818530302968,2895.4413742784727,4836.8767536834675,7732.31812796194,48.25735623797455,80.61461256139113,128.87196879936567,5124.576168782701,ok,0.9+0.1C 10τ,10τ,X5beta
DC0.90C+AC0.10C_f0.01430Hz_X5beta,0.9,0.1,0.0143,0.11111111111111112,1.2792069911956787,2.512422948941947,2.686080813557835,2970.2770239437505,4775.694933131523,7745.971957075273,49.50461706572917,79.59491555219205,129.09953261792123,5124.798374438038,ok,0.9+0.1C 1τ,1τ,X5beta
DC0.10C_baseline_X5beta,0.1,0.0,0.0,0.0,1.0640671253204346,2.512422948941947,2.556491674889169,36025.57172325896,2104.0155463891715,38129.58726964813,600.4261953876493,35.06692577315286,635.4931211608022,5126.313074640761,ok,0.1C_DC,baseline,X5beta
DC0.20C_baseline_X5beta,0.2,0.0,0.0,0.0,1.1818528175354004,2.512422948941947,2.58801840587698,17512.350031736467,2872.6155004180728,20384.96553215454,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,ok,0.2C_DC,baseline,X5beta
DC0.30C_baseline_X5beta,0.3,0.0,0.0,0.0,1.0035679340362549,2.512422948941947,2.6110933741628157,11345.449198764976,3315.7676974956994,14661.216896260676,189.09081997941627,55.26279495826166,244.35361493767792,5125.988242972963,ok,0.3C_DC,baseline,X5beta
DC0.40C_baseline_X5beta,0.4,0.0,0.0,0.0,1.0051028728485107,2.512422948941947,2.629437139578683,8245.777916981073,3650.013876587511,11895.791793568584,137.42963194968453,60.83356460979185,198.2631965594764,5125.895173088575,ok,0.4C_DC,baseline,X5beta
DC0.50C_baseline_X5beta,0.5,0.0,0.0,0.0,1.1843230724334717,2.512422948941947,2.644888842297262,6332.408742196827,3964.6545512499742,10297.063293446801,105.54014570328044,66.07757585416624,171.61772155744669,5125.986010082342,ok,0.5C_DC,baseline,X5beta
DC0.90C_baseline_X5beta,0.9,0.0,0.0,0.0,0.9938309192657471,2.512422948941947,2.6919715328414564,2976.8591136879877,4770.210812004494,7747.069925692482,49.61431856146646,79.50351353340824,129.1178320948747,5125.246538546686,ok,0.9C_DC,baseline,X5beta
DC0.20C+AC0.80C_f0.00143Hz_X5beta,0.2,0.8,0.00143,4.0,1.5359961986541748,2.512422948941947,2.6716350667917146,13377.49692236254,4611.734703836191,17989.23162619873,222.95828203937566,76.86224506393653,299.82052710331214,5128.6435581568,ok,0.2+0.8C 10τ,10τ,X5beta
