protocol_id,Q_Ah,t_false_s,t_differential_s,delta_t_differential_minus_false_s,neg_avg_sto_false,neg_avg_sto_differential,delta_neg_avg_sto_diff_minus_false,neg_surface_sto_xavg_false,neg_surface_sto_xavg_differential,delta_neg_surface_sto_xavg_diff_minus_false,neg_surface_sto_range_false,neg_surface_sto_range_differential,delta_neg_surface_sto_range_diff_minus_false,pos_avg_sto_false,pos_avg_sto_differential,delta_pos_avg_sto_diff_minus_false,U_NE_min_mV_false,U_NE_min_mV_differential,delta_U_NE_min_mV_diff_minus_false,eta_n_V_false,eta_n_V_differential,delta_eta_n_V_diff_minus_false,c_e_range_molm3_false,c_e_range_molm3_differential,delta_c_e_range_molm3_diff_minus_false
fixed_AC0p38,1.228461457602849,2848.765876600792,2848.764383664361,-0.0014929364310773963,0.2813463017346035,0.2812945765501795,-5.1725184424034065e-05,0.29137571033669224,0.29132365336275945,-5.2056973932790296e-05,0.037007132187672896,0.036988381193318494,-1.8750994354402306e-05,0.6837970958314605,0.6838254432927362,2.834746127566845e-05,79.48790151344585,79.52502133073027,0.037119817284420265,-0.06953744934108848,-0.06953426685127738,3.18248981109881e-06,714.9310475860559,715.4873384080512,0.556290821995276
fixed_AC0p38,1.2639256457960506,2897.159217838429,2897.161080150582,0.0018623121532073128,0.2874241411865177,0.28737964807119915,-4.449311531856681e-05,0.29542547863004065,0.2953847284927619,-4.075013727872223e-05,0.0375725957573346,0.03756090269803625,-1.1693059298351072e-05,0.679740978467949,0.6797649149661603,2.3936498211307722e-05,104.7942564146508,104.80974573315702,0.015489318506212157,-0.04701559770315961,-0.047019403856635195,-3.8061534755814974e-06,593.3710564487698,594.1493009951706,0.778244546400856
fixed_AC0p38,1.2993898339892525,3109.1799315775083,3109.1764292067114,-0.00350237079692306,0.29348784638888803,0.2934513899992999,-3.6456389588102045e-05,0.29897691569867796,0.29893851202993243,-3.840366874552359e-05,0.030564312568881844,0.030554443915284245,-9.868653597599336e-06,0.6756942937614614,0.6757125723556536,1.8278594192233655e-05,97.23877807312354,97.28395182747336,0.045173754349818296,-0.05445864137849221,-0.05444083099839108,1.7810380101131174e-05,364.6922719382339,364.7677223185933,0.07545038035942753
fixed_AC0p38,1.334854022182454,3152.11629647868,3152.114733235952,-0.001563242728025216,0.29957811330627104,0.29953846517742205,-3.964812884899027e-05,0.3084908884558112,0.3084480089252023,-4.287953060888583e-05,0.03488301778177262,0.03486707481978502,-1.5942961987598647e-05,0.6716298827832746,0.671650094469983,2.0211686708404564e-05,70.71968685564745,70.7615761409234,0.04188928527594271,-0.06956040248681387,-0.06954896301327486,1.1439473539015532e-05,616.1570369424218,616.3157926921276,0.15875574970584694
fixed_AC0p38,1.3703182103756557,3190.1915906815952,3190.1895844793835,-0.0020062022117599554,0.30566256951101556,0.30562339343256556,-3.9176078449998375e-05,0.3156937180223683,0.31565365302398185,-4.00649983864354e-05,0.03909561424457352,0.039078056706439705,-1.7557538133816664e-05,0.6675693496522431,0.6675893332552589,1.998360301580515e-05,67.1506126475871,67.17828921521865,0.027676567631559124,-0.06850093712137303,-0.06849651093887596,4.4261824970748265e-06,710.0468546413704,710.4478175136851,0.4009628723147216
fixed_AC0p38,1.4057823985688576,3238.0337513624795,3238.0348313980016,0.0010800355221363134,0.3117403781568239,0.3117063755335873,-3.400262323660641e-05,0.31984475486705144,0.3198137029750701,-3.1051891981326296e-05,0.04046148771513536,0.04044944266281879,-1.2045052316569937e-05,0.663513252847547,0.6635301980704087,1.6945222861664e-05,91.74541891409142,91.75239129283466,0.006972378743242302,-0.04702145465086106,-0.0470245254313135,-3.0707804524465754e-06,595.2599638351535,595.9581600027142,0.6981961675606954
fixed_AC0p38,1.4412465867620592,3450.3372438763954,3450.332070551144,-0.005173325251234928,0.3178042552164324,0.3177826756413481,-2.15795750843073e-05,0.3231893575701825,0.3231658083843084,-2.3549185874105483e-05,0.03458991343031822,0.034582769352346374,-7.144077971844853e-06,0.659466453450119,0.6594748421510024,8.388700883377176e-06,86.74350031069038,86.77842129860466,0.034920987914276225,-0.05290908371123024,-0.05288945753898257,1.962617224766927e-05,353.46843877704174,353.526690062039,0.058251284997254515
fixed_AC0p38,1.4767107749552608,3493.5741564006457,3493.571881493805,-0.002274906840739277,0.3238971103450454,0.323879572053123,-1.7538291922414295e-05,0.3327606223457893,0.3327381528531052,-2.2469492684085157e-05,0.039805370533264633,0.0397996952686144,-5.675264650235878e-06,0.6554003151988456,0.655405854904064,5.539705218438051e-06,61.4994909112536,61.53585337377336,0.0363624625197545,-0.06833412456830114,-0.06831890028546854,1.5224282832598801e-05,607.4688543008309,607.3458214662725,-0.12303283455844394
fixed_AC0p38,1.5121749631484624,3531.6208860646825,3531.619920598556,-0.0009654661266722542,0.3299818977449661,0.32996463448357705,-1.7263261389066642e-05,0.34001162829729775,0.3399904467130643,-2.118158423347616e-05,0.04491400874523253,0.04490373870652416,-1.0270038708369567e-05,0.6513395610408322,0.651345040852553,5.479811720721095e-06,58.81568630666827,58.84244872272091,0.026762416052640958,-0.06757382034566031,-0.06756345788854919,1.03624571111266e-05,703.9244786740122,704.0086152614213,0.08413658740903429
fixed_AC0p38,1.5476391513416643,3578.9423349331214,3578.941523981603,-0.0008109515183605254,0.33605803281592894,0.3360451331925076,-1.2899623421325224e-05,0.34425973513577035,0.3442481549270376,-1.158020873276433e-05,0.04701919495558914,0.04701839963693206,-7.953186570847093e-07,0.6472845811159164,0.6472875678898069,2.986773890545358e-06,82.86293075988623,82.86272079446857,-0.00020996541765327947,-0.047075602555055225,-0.047078416831504336,-2.81427644911042e-06,596.4240821039624,596.9658609172018,0.5417788132393753
