protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,fit_rmse_A
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.35,False,A_shared_prescribed_current,1235.4382337959817,1234.017876785815,1.4203570101667538,1235.294117647038,1234.8882347258084,0.40588292122970415,1.0144740889370496,0.4811098008094632,0.9392472093572906,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.36,False,A_shared_prescribed_current,1270.7360135053668,1269.0619759877486,1.674037517618217,1270.588235294094,1269.9798312599028,0.6084040341911532,1.0656334834270638,0.5434642149843967,1.1305733026338203,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.37,False,A_shared_prescribed_current,1306.0337827118638,1304.1206610969002,1.9131216149635293,1305.8823529411497,1305.0495417268214,0.8328112143283306,1.0803104006351987,0.5880289336184887,1.3250926813450405,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.38,False,A_shared_prescribed_current,1341.3315746873843,1339.2024966192294,2.1290780681549677,1341.1764705882056,1340.1147848430228,1.0616857451827855,1.0673923229721822,0.6243908168885355,1.5046872512664322,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.39,False,A_shared_prescribed_current,1376.629509517177,1374.3201254520482,2.3093840651288247,1376.4705882352614,1375.1817142293937,1.288874005867683,1.0205100592611416,0.6516628835079246,1.6577211816209,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.4,False,A_shared_prescribed_current,1411.9274604614245,1409.4959765620142,2.4314838994102956,1411.7647058823175,1410.2529100362053,1.5117958461121361,0.9196880532981595,0.655461467440773,1.7760224319695226,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.41,False,A_shared_prescribed_current,1447.2254030461165,1444.7670824114687,2.458320634647862,1447.058823529373,1445.3313088675197,1.72751466185332,0.730805972794542,0.6230481493068964,1.8352724853409654,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.42,False,A_shared_prescribed_current,1482.5232873414927,1482.489579877486,0.03370746400673852,1482.3529411764289,1480.4204082616623,1.9325329147666253,-1.8988254507598867,0.5816974219610529,-0.5479899579543144,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.43,False,A_shared_prescribed_current,1517.821226726126,1517.8914675845726,-0.07024085844659567,1517.6470588234847,1515.5245416496612,2.122517173823553,-2.1927580322701488,0.5322506985755808,-0.6024915570221765,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.44,False,A_shared_prescribed_current,1553.1189837636143,1553.0600979246392,0.058885838975129445,1552.9411764705405,1550.649265799921,2.2919106706194725,-2.233024831644343,0.4832385204831553,-0.42435268150802585,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.45,False,A_shared_prescribed_current,1588.41665793214,1588.143711197738,0.2729467344020122,1588.2352941175964,1585.801928444698,2.4333656728983897,-2.1604189384963775,0.44134433762064873,-0.1683976032186365,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.46,False,A_shared_prescribed_current,1623.714210307514,1623.2082236894987,0.5059866180151857,1623.5294117646522,1620.992529872038,2.5368818926142467,-2.030895274599061,0.42297537629769977,0.08301124171748597,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.47,False,A_shared_prescribed_current,1659.0119508322196,1658.2612811772228,0.7506696549967273,1658.8235294117078,1658.982590162724,-0.1590607510161135,0.9097304060128408,0.4396869430509014,0.31098271194582594,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.48,False,A_shared_prescribed_current,1694.309636498143,1693.3075827690943,1.0020537290486118,1694.1176470587639,1694.2306881344082,-0.11304107564433252,1.1150948046929443,0.46642880596937175,0.53562492307924,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.49,False,A_shared_prescribed_current,1729.6072709998327,1728.351170072302,1.2561009275307242,1729.4117647058197,1729.412736202317,-0.0009714964974136819,1.257072424028138,0.5024541868842789,0.7536467406464453,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
