parameter_set,model_type,condition,reference_condition,Q_Ah,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.8776957877003095,6906.469890480744,6439.851860648888,466.6180298318559,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.9238629564537635,7017.271095489033,6509.2243461481885,508.04674934084414,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.970030125207217,7128.0723004973215,6972.996149281132,155.07615121618983,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.0161972939606705,7238.8735055056095,7007.038504844724,231.83500066088527,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.0623644627141244,7349.674710513899,7040.419370154102,309.25534035979763,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.108531631467578,7460.475915522187,7075.503207951317,384.9727075708706,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.1546988002210314,7571.277120530475,7116.021501210521,455.25561931995435,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.200865968974485,7682.078325538764,7175.3102298272825,506.7680957114817,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.2470331377279384,7792.879530547052,7651.220644994781,141.65888555227139,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.2932003064813924,7903.680735555342,7685.63777419979,218.0429613555516,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.339367475234846,8014.48194056363,7718.970236545173,295.51170401845684,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.3855346439882994,8125.283145571918,7753.549882632345,371.73326293957325,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.4317018127417533,8236.084350580208,7792.655246897717,443.4291036824907,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.477868981495207,8346.885555588497,7845.8988370538445,500.986718534652,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.5240361502486603,8457.686760596784,8329.319855475498,128.36690512128553,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.570203319002114,8568.487965605074,8364.204225601758,204.28374000331678,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.6163704877555674,8679.289170613361,8397.558816890201,281.7303537231601,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.6625376565090213,8790.090375621652,8431.730351382419,358.3600242392331,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.708704825262475,8900.89158062994,8469.661963622211,431.22961700772794,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.7548719940159283,9011.692785638228,8518.707183550037,492.9856020881907,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.8010391627693823,9122.493990646517,9007.269762272523,115.22422837399426,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,3.8472063315228358,9233.295195654806,9042.724470269084,190.57072538572174,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.2,480.0,215.35445521866876,264.64554478133124,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.24616716875345362,590.8012050082887,249.6337860262487,341.16741898204,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.29233433750690724,701.6024100165773,283.0333867337829,418.56902328279443,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.33850150626036085,812.4036150248661,316.38058878312825,496.02302624173785,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.38466867501381447,923.2048200331546,350.49132302332566,572.713497009829,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.4308358437672681,1034.0060250414433,386.3576206898926,647.6484043515507,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.4770030125207217,1144.8072300497322,425.4665377052845,719.3406923444477,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.5231701812741754,1255.6084350580209,470.64177652327527,784.9666585347456,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.5693373500276289,1366.4096400663093,529.6689573220681,836.7406827442412,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.6155045187810826,1477.2108450745982,1308.7520679782263,168.45877709637193,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.6616716875345361,1588.0120500828864,1345.7798011866064,242.23224889628,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.7078388562879898,1698.8132550911757,1380.5035373590404,318.30971773213537,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.7540060250414433,1809.614460099464,1414.0730688848953,395.54139121456865,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.800173193794897,1920.4156651077528,1447.3533783871226,473.06228672063025,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.8463403625483505,2031.2168701160415,1481.145984257126,550.0708858589155,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.8925075313018043,2142.01807512433,1516.3668992109456,625.6511759133846,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.9386747000552578,2252.8192801326186,1554.305440700662,698.5138394319565,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,0.9848418688087115,2363.6204851409075,1597.2290095982232,766.3914755426842,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.031009037562165,2474.421690149196,1650.570306243304,823.8513839058919,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.0771762063156187,2585.222895157485,1745.140857542903,840.0820376145818,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.1233433750690722,2696.0241001657732,2476.0063460791653,220.01775408660797,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.169510543822526,2806.8253051740626,2511.2732379144854,295.55206725957714,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.2156777125759795,2917.6265101823506,2545.0876370018036,372.53887318054694,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.2618448813294332,3028.4277151906394,2578.3706407551613,450.05707443547817,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.3080120500828867,3139.228920198928,2611.9243450056347,527.3045751932932,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.3541792188363402,3250.0301252072163,2646.6101813773103,603.4199438299061,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.400346387589794,3360.8313302155057,2683.5677415502655,677.2635886652401,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.4465135563432476,3471.6325352237945,2724.665327834689,746.9672073891056,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.4926807250967011,3582.433740232083,2773.9120428121823,808.5216974199006,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.5388478938501546,3693.234945240371,2846.0959706332837,847.1389746070872,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.5850150626036084,3804.03615024866,3605.995693625148,198.040456623512,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.631182231357062,3914.8373552569487,3641.9171553851756,272.9201998717731,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.6773494001105156,4025.638560265237,3676.0560756783275,349.5824845869097,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.723516568863969,4136.439765273526,3709.4114092323116,427.02835604121447,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.7696837376174228,4247.240970281815,3742.8008496926022,504.4401205892127,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.8158509063708765,4358.042175290104,3777.0495102426703,580.9926650474335,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.86201807512433,4468.843380298392,3813.183599183523,655.659781114869,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.9081852438777835,4579.644585306681,3852.778064021062,726.8665212856185,5.0,0.2,0.0008764875571101142,1140.9175086262733
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,Chen2020_SPM_hier_DC03,1.9543524126312373,4690.44579031497,3898.91606635979,791.5297239551796,5.0,0.2,0.0008764875571101142,1140.9175086262733
