condition,label,t_rel_s,Q_net_mAh,V_V,I_A
0.2+0.8C 10τ,baseline-init_DCAC,12683.036978747874,3481.008297843928,3.882940315985442,2.0292314634632076
0.2+0.8C 10τ,baseline-init_DCAC,12700.071486365769,3470.547914198846,3.863993450317441,2.3920740379342664
0.2+0.8C 10τ,baseline-init_DCAC,12717.105993983663,3458.5582606359885,3.8474276244796046,2.675610193917979
0.2+0.8C 10τ,baseline-init_DCAC,12729.124887429163,3449.3773640188033,3.837764031404541,2.8242684715745554
0.2+0.8C 10τ,baseline-init_DCAC,12741.143780874663,3439.774533266663,3.829332894012618,2.9283727119861886
0.2+0.8C 10τ,baseline-init_DCAC,12751.960784975614,3430.893574367684,3.8230208639479577,2.9829594346874546
0.2+0.8C 10τ,baseline-init_DCAC,12762.777789076565,3421.905076116078,3.8179438908861507,2.999952914016728
0.2+0.8C 10τ,baseline-init_DCAC,12773.594793177515,3412.9222367771818,3.8141653041349257,2.979192756674846
0.2+0.8C 10τ,baseline-init_DCAC,12784.411797278466,3404.058201204569,3.811604129394106,2.9208749078277565
0.2+0.8C 10τ,baseline-init_DCAC,12795.228801379417,3395.4249929200573,3.8104325496899816,2.8255498016740974
0.2+0.8C 10τ,baseline-init_DCAC,12806.045805480368,3387.1324567774245,3.810660596901407,2.694117166160854
0.2+0.8C 10τ,baseline-init_DCAC,12816.862809581318,3379.287222189533,3.8123137311843123,2.5278175308828894
0.2+0.8C 10τ,baseline-init_DCAC,12827.679813682269,3371.991696704451,3.8154648944338536,2.328220518319216
0.2+0.8C 10τ,baseline-init_DCAC,12838.49681778322,3365.3430994297355,3.8201184647907134,2.097210028919404
0.2+0.8C 10τ,baseline-init_DCAC,12849.31382188417,3359.432543427915,3.826384353554522,1.8369664598709967
0.2+0.8C 10τ,baseline-init_DCAC,12860.130825985121,3354.3441757440005,3.8342572708668747,1.5499461253764508
0.2+0.8C 10τ,baseline-init_DCAC,12870.947830086072,3350.154383181897,3.8438066653814897,1.2388580726817402
0.2+0.8C 10τ,baseline-init_DCAC,12881.764834187023,3346.9310713260047,3.85508048010686,0.9066385126790022
0.2+0.8C 10τ,baseline-init_DCAC,12896.966869933882,3344.1509698685577,3.87372522227464,0.41007530295283523
0.2+0.8C 10τ,baseline-init_DCAC,12912.16890568074,3343.523208367945,3.8953895917491215,-0.11275441253560747
0.2+0.8C 10τ,baseline-init_DCAC,12927.3709414276,3345.138141558029,3.919386304991251,-0.6521115016238038
0.2+0.8C 10τ,baseline-init_DCAC,12942.572977174459,3349.044347855554,3.9446229065389797,-1.1979489646523793
0.2+0.8C 10τ,baseline-init_DCAC,12957.775012921318,3355.247724454387,3.9701912968637014,-1.7400990872887148
0.2+0.8C 10τ,baseline-init_DCAC,12972.977048668177,3363.7113774741665,3.9954155551301707,-2.268462841991213
0.2+0.8C 10τ,baseline-init_DCAC,12988.179084415036,3374.3563092096424,4.019767058025212,-2.773198009994389
0.2+0.8C 10τ,baseline-init_DCAC,13003.381120161896,3387.0628896788094,4.0430748497551505,-3.2449025195287304
0.2+0.8C 10τ,baseline-init_DCAC,13018.583155908755,3401.6730850582294,4.065011048542333,-3.6747895850999948
0.2+0.8C 10τ,baseline-init_DCAC,13033.785191655614,3417.993401494844,4.085501214516766,-4.054851385380264
0.2+0.8C 10τ,baseline-init_DCAC,13048.987227402473,3435.79848945774,4.104333053496246,-4.378008230762767
0.2+0.8C 10τ,baseline-init_DCAC,13064.189263149332,3454.8353414889625,4.12143861112013,-4.638240441927102
0.2+0.8C 10τ,baseline-init_DCAC,13079.391298896191,3474.8280051588026,4.136617271151637,-4.830700482816374
0.2+0.8C 10τ,baseline-init_DCAC,13094.59333464305,3495.482723433881,4.149656057371384,-4.951803259242718
0.2+0.8C 10τ,baseline-init_DCAC,13109.79537038991,3516.493406704632,4.160368077251017,-4.999292901063477
0.2+0.8C 10τ,baseline-init_DCAC,13124.997406136768,3537.5473345407163,4.1685505377902174,-4.972284783927083
0.2+0.8C 10τ,baseline-init_DCAC,13140.199441883628,3558.330980963594,4.174027277649466,-4.871282007818984
0.2+0.8C 10τ,baseline-init_DCAC,13155.401477630487,3578.53585472463,4.176647744774078,-4.698166025449606
0.2+0.8C 10τ,baseline-init_DCAC,13185.805549124205,3615.8988385461844,4.172953116134098,-4.149776710468906
0.2+0.8C 10τ,baseline-init_DCAC,13216.209620617923,3647.64391649636,4.157069993324358,-3.3677875502416246
0.2+0.8C 10τ,baseline-init_DCAC,13246.613692111641,3672.0431057094293,4.128860713962483,-2.4101939405069093
0.2+0.8C 10τ,baseline-init_DCAC,13277.01776360536,3687.9132233578657,4.088241378284298,-1.3480147945419572
0.2+0.8C 10τ,baseline-init_DCAC,13307.421835099078,3694.703636150423,4.036491394476539,-0.26002550086764964
0.2+0.8C 10τ,baseline-init_DCAC,13308.409378047749,3694.770185720131,4.036252071752353,-0.22517557574314973
0.2+0.8C 10τ,baseline-init_DCAC,13308.792116290033,3694.793408402931,4.035585455645823,-0.21168517578718682
