condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_min_ablation,window_exceeds_ablation_CC,n_valid_points,x_n_Q20,x_n_Q80_if_in_CC,Q80_in_CC,x_n_CC_end,sign,sign_baseline,flipped_vs_baseline
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,A1b,-3319.0717397877356,-1.1130995417486886,1025.0,4006.8283228950454,3980.103851013211,True,80,0.22486821468345533,,False,0.732796177124318,-,-,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,A1b,-1027.9669254226042,-0.33418950761463073,1025.0,4101.0,4752.7118557967415,False,80,0.22008289625261399,0.7478204413244537,True,0.8599515587635234,-,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,A1b,-1040.2293476375016,-0.33817599077942184,1025.0,4101.0,4514.556007179914,False,80,0.22265462878579553,0.7488798597474533,True,0.8212884365536229,-,-,False
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,A1b,-8721.472134793905,-2.835329042520775,1025.0,4101.0,4362.8820558767775,False,80,0.2233692447868871,0.748647448096708,True,0.7971312893246177,-,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,A1b,-25414.01198294502,-8.262032504208394,1025.0,4101.0,4321.283030091776,False,80,0.22526608585416372,0.745758506488282,True,0.7900076026054441,-,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,A1b,-1075.713217243625,-0.361007924438753,1025.0,4004.749596677138,3994.9475280350503,True,80,0.2219283602141192,,False,0.7323285926676726,-,-,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,A1b,-1655.2991090668354,-0.5694848648637553,1025.0,3931.660406967712,3921.737339546361,True,80,0.22600013306211897,,False,0.7227800076484625,-,-,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,A1b,-9829.420594204355,-3.7300566989727177,1025.0,3660.1933462328984,3681.6062514564305,True,80,0.232562946751148,,False,0.6869882840101932,-,-,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,A1b,-669.5660651671518,-0.23127163774286694,1025.0,3920.149927167423,3909.1257216849435,True,80,0.2229922726434886,,False,0.7187400774796419,-,-,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,A1b,-1191.3060751816906,-0.4198537245605632,1025.0,3862.431242103574,3853.2153181711224,True,80,0.22495734622198993,,False,0.7116824200049288,-,-,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,A1b,-7889.284043855211,-3.0644578155945834,1025.0,3599.446939262072,3595.75091376723,True,80,0.23287302885039632,,False,0.6735237139021044,-,-,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,A1b,-521.2037404910434,-0.16944204827407133,1025.0,4101.0,4104.281753667255,True,80,0.2222941952541533,0.7496271421702265,True,0.7504098378691197,-,-,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,A1b,-900.1012505305617,-0.2955208002194961,1025.0,4070.813526025977,4062.8887929781554,True,80,0.2218207734168812,,False,0.7455068033556224,-,-,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,A1b,-6616.4118164017555,-2.3055787290682783,1025.0,3894.740136384566,3917.3902799633065,True,80,0.2279290796570865,,False,0.7234070755919154,-,-,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,A1b,-583.3032230297789,-0.20851302882235534,1025.0,3822.4425690527455,3812.467448456654,True,80,0.226923214817672,,False,0.7043824046017838,-,-,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,A1b,-1087.6730095558928,-0.3918220220373585,1025.0,3800.936390456859,3785.0481125437923,True,80,0.22793980405352282,,False,0.7013005699258461,-,-,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,A1b,-1177.1349958238434,-0.4260817705281684,1025.0,3787.6973910774777,3719.8361926486164,True,80,0.2287601705635157,,False,0.6910935958512026,-,-,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,A1b,-3384.4076788935063,-1.2584006434108221,1025.0,3714.4516437310976,3607.516777080087,True,80,0.22799394710905915,,False,0.6746740742826707,-,-,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,A1b,-6516.530913469247,-2.5158455782735687,1025.0,3615.195109646213,3641.0333121787016,True,80,0.23303156223317506,,False,0.6800873734499745,-,-,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,A1b,-580.8167152731412,-0.21547350012493233,1025.0,3720.536643421959,3716.528908049907,True,80,0.22195975410650953,,False,0.6899752347944046,-,-,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,A1b,-786.7828939864719,-0.3078812540476633,1025.0,3580.475150379469,3572.5639527628937,True,80,0.23352666323185955,,False,0.6709672531173659,-,-,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,A1b,-85.38599857252294,-0.03400572147740617,1025.0,3535.9303629759615,3565.839199165785,True,80,0.23225579071861563,,False,0.6677946994913336,0,0,False
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,A1b,-540.3107005442414,-0.21093413251676682,1025.0,3586.513843670099,3572.5639527628937,True,80,0.2308077644669138,,False,0.6815660828723886,-,-,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,A1b,-52.52306004293932,-0.0205578249796441,1025.0,3579.8938224226777,3547.8890625908816,True,80,0.23250995284650308,,False,0.6649956263985749,0,0,False
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,A2a,-3039.0099527978805,-1.019176700906549,1025.0,4006.8283228950454,4057.7334069053145,False,80,0.22500101565860262,,False,0.7458373332294633,-,-,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,A2a,-1055.841082659333,-0.343251327262462,1025.0,4101.0,4772.021839387909,False,80,0.22010351822643903,0.7476614074180615,True,0.8631052219894646,-,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,A2a,-977.3036072602492,-0.3177189880559978,1025.0,4101.0,4533.01885795713,False,80,0.22265760139206295,0.748711521474718,True,0.8241238562614526,-,-,False
