condition,case_id,I_DC_Crate,A_Crate,f_Hz,kappa,status,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,pct_AC_reversals,wall_clock_s,CC_time_s,CV_time_s,total_time_s,n_AC_reversals_steps,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
0.9+0.1C 16.7τ,DC0.90C+AC0.10C_f0.00100Hz,0.9,0.1,0.001,0.11111111111111112,ok,48.972366227763025,80.17147901735237,129.1438452451154,5125.305137157591,31.94749155153346,0.0,1.1079349517822266,2938.3419736657816,4810.288741041142,7748.630714706924,0.0,,,
0.9+0.1C 1.67τ,DC0.90C+AC0.10C_f0.00900Hz,0.9,0.1,0.009,0.11111111111111112,ok,49.29208981368444,79.80086944226774,129.0929592559522,5124.517753170199,31.509895451748264,0.0,1.083191156387329,2957.5253888210664,4788.052166536065,7745.577555357131,0.0,,,
0.9+0.1C 10τ,DC0.90C+AC0.10C_f0.00100Hz,0.9,0.1,0.001,0.11111111111111112,ok,48.972366227763025,80.17147901735237,129.1438452451154,5125.305137157591,31.94749155153346,0.0,1.1687569618225098,2938.3419736657816,4810.288741041142,7748.630714706924,0.0,,,
0.9+0.1C 1τ,DC0.90C+AC0.10C_f0.01400Hz,0.9,0.1,0.014,0.11111111111111112,ok,49.49223991540751,79.60758497180568,129.0998248872132,5125.053271844915,31.506292690468285,0.0,1.1445820331573486,2969.5343949244507,4776.455098308341,7745.989493232792,0.0,,,
0.1C_DC,DC0.10C_baseline,0.1,0.0,0.0,0.0,ok,600.4261953876493,35.06692577315286,635.4931211608022,5126.313074640761,20.31536535481598,0.0,1.3163268566131592,36025.57172325896,2104.0155463891715,38129.58726964813,0.0,,,
0.2C_DC,DC0.20C_baseline,0.2,0.0,0.0,0.0,ok,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,21.01448955860934,0.0,1.1209862232208252,17512.350031736467,2872.6155004180728,20384.96553215454,0.0,,,
0.3C_DC,DC0.30C_baseline,0.3,0.0,0.0,0.0,ok,189.09081997941627,55.26279495826166,244.35361493767792,5125.988242972963,21.954979483666364,0.0,1.2461261749267578,11345.449198764976,3315.7676974956994,14661.216896260676,0.0,,,
0.4C_DC,DC0.40C_baseline,0.4,0.0,0.0,0.0,ok,137.42963194968453,60.83356460979185,198.2631965594764,5125.895173088575,23.084276586466842,0.0,1.1915810108184814,8245.777916981073,3650.013876587511,11895.791793568584,0.0,,,
0.5C_DC,DC0.50C_baseline,0.5,0.0,0.0,0.0,ok,105.54014570328044,66.07757585416624,171.61772155744669,5125.986010082342,24.44427743009146,0.0,1.2644779682159424,6332.408742196827,3964.6545512499742,10297.063293446801,0.0,,,
0.9C_DC,DC0.90C_baseline,0.9,0.0,0.0,0.0,ok,49.61431856146646,79.50351353340824,129.1178320948747,5125.246538546686,31.467021456707926,0.0,1.0418338775634766,2976.8591136879877,4770.210812004494,7747.069925692482,0.0,,,
0.2+0.8C 10τ,DC0.20C+AC0.80C_f0.00143Hz,0.2,0.8,0.00143,4.0,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,,,,,,,0.9792547225952148,,,,,162.34736273438466,20.843657447023872,1.4999999999990097
