parameter_set,model_type,condition,feature_id,delta_x_mean,delta_x_median,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
Chen2020,DFN,DC03_AC07_5tau,neg_avg_surface_sto,0.007537767535532709,0.008178929865682694,0.007537767535532709,0.009437981348197538,0.0019094913543784918,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,neg_max_surface_sto,0.03523102329751972,0.03212869710372632,0.035231023297519724,0.0693495265614098,0.01576757242192929,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,neg_min_surface_sto,-0.005402778074630255,-0.0038193839992199663,0.006968301251070908,0.02072064213382674,0.007321822251854745,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,neg_surface_minus_avg_sto,0.0075563504307184694,0.008197653546209754,0.0075563504307184694,0.009414048623138794,0.0019077950938634525,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,neg_surface_sto_range,0.04063380137214998,0.03921301971743958,0.04063380137214998,0.08158650889639532,0.021434258184718964,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,pos_avg_sto,1.2401512810798071e-05,1.848840377410843e-05,2.8526494142844943e-05,5.253465906451815e-05,2.9072769293752225e-05,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,pos_avg_surface_sto,-0.01451433548413866,-0.015996954779688266,0.01451433548413866,0.01954824479639672,0.004727123197410495,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,pos_surface_minus_avg_sto,-0.014526736996949457,-0.016026501114703537,0.014526736996949457,0.0195697302206643,0.004726737109825683,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,total_heating_mean,0.0,0.0,0.0,0.0,0.0,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_f000412,cell_temperature_K,0.0,0.0,0.0,0.0,0.0,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,elyte_c_mean,-26.01913895010993,-28.8271201878365,26.01913895010993,33.40974296320553,7.314072557328987,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,elyte_c_range,604.3261850309559,667.0495421244315,604.3261850309559,782.3297120416785,174.981991996366,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,eta_n_mean,-0.0468613575636955,-0.05238805467545189,0.04692638061467768,0.059179486892524065,0.014429224534113562,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,eta_p_mean,0.005895182210530234,0.0066232084005672705,0.005905933390161078,0.007803138069303938,0.0019910565119516796,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,j_n_mean_signed,-0.8091302473829959,-0.9083251067266807,0.8102967344434641,1.0417677511797838,0.2749695030762379,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,j_p_mean_signed,0.9161123408672793,1.0284226260902367,0.917433058666137,1.179508877740167,0.31132559330004056,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_avg_sto,2.085821503174344e-05,2.1596130627965504e-05,2.085821503174344e-05,2.376042328444683e-05,3.757490820391203e-06,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_avg_surface_sto,0.009105011823267315,0.010028615899011994,0.009105011823267317,0.011500270534054335,0.002734920410372787,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_max_surface_sto,0.05832262137643938,0.06500226807696746,0.05832262137643938,0.10067877366514788,0.025137027836231993,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_min_surface_sto,-0.013016366267352874,-0.011436538709824334,0.0143653805149913,0.04060764968280095,0.012771450760543663,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_surface_minus_avg_sto,0.00908415360823557,0.010005883849105359,0.00908415360823557,0.011477183935054461,0.0027338697642221702,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,neg_surface_sto_range,0.07133898764379225,0.07308014925139564,0.07133898764379225,0.13913935206688122,0.03721490434918574,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,pos_avg_sto,-1.3919974169674526e-05,-1.4412430789423336e-05,1.3919974169674526e-05,1.585679684668051e-05,2.507605520398219e-06,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,pos_avg_surface_sto,-0.033722212639915115,-0.03620076920710222,0.033722212639915115,0.04203886389946743,0.007821642506444942,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,pos_surface_minus_avg_sto,-0.033708292665745446,-0.036186016192102634,0.033708292665745446,0.04202468973741465,0.007820378220975869,1098.3657983765215,210.5391809028368,1802.6834833615744
Chen2020,DFN,DC03_AC07_f000412,total_heating_mean,0.0,0.0,0.0,0.0,0.0,1098.3657983765215,210.5391809028368,1802.6834833615744
