parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,delta_t_model_s,delta_t_model_min,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.5573362110750146,0.511467242215003,0.561467242215003,345.8281684462854,5.763802807438091,345.8315155291084,5.763858592151807,-0.0033470828229837934,-5.578471371639656e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.592441014090372,0.5184882028180744,0.5684882028180744,402.7249616558656,6.712082694264427,402.7305810922453,6.712176351537422,-0.00561943637967488,-9.365727299458134e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.6275458171057293,0.5255091634211458,0.5755091634211459,456.2050914092806,7.6034181901546765,456.2105305113819,7.603508841856365,-0.0054391021012634155,-9.065170168772359e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.6626506201210867,0.5325301240242173,0.5825301240242173,501.71749417682713,8.361958236280453,501.7296393006445,8.362160655010742,-0.012145123817390413,-0.0002024187302898402,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.697755423136444,0.5395510846272888,0.5895510846272889,97.88005351538686,1.6313342252564478,97.87885516126244,1.6313142526877074,0.0011983541244262597,1.997256874043766e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.7328602261518014,0.5465720452303603,0.5965720452303603,153.95773994440333,2.565962332406722,153.95774227195216,2.565962371199203,-2.3275488274521194e-06,-3.8792480457535324e-08,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.7679650291671587,0.5535930058334317,0.6035930058334318,212.07589177055434,3.5345981961759056,212.07706026096457,3.5346176710160764,-0.0011684904102367,-1.9474840170611665e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.803069832182516,0.5606139664365032,0.6106139664365032,270.97137640625806,4.5161896067709675,270.9736751722694,4.516227919537823,-0.002298766011335829,-3.8312766855597145e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.8381746351978734,0.5676349270395746,0.6176349270395747,329.67578296849206,5.494596382808201,329.6786172042448,5.494643620070747,-0.0028342357527435524,-4.723726254572587e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.8732794382132307,0.5746558876426462,0.6246558876426462,387.1500401573094,6.452500669288489,387.15507541035095,6.452584590172516,-0.005035253041569376,-8.392088402615627e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.908384241228588,0.5816768482457176,0.6316768482457177,441.84946089791174,7.364157681631863,441.85528041036105,7.364254673506017,-0.005819512449306785,-9.699187415511309e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.9434890442439454,0.5886978088487891,0.6386978088487891,490.4263535265427,8.173772558775712,490.4332509494443,8.173887515824072,-0.006897422901602113,-0.0001149570483600352,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.9785938472593028,0.5957187694518605,0.6457187694518606,517.6770732041487,8.627951220069145,517.7044665649346,8.628407776082243,-0.027393360785936238,-0.0004565560130989373,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.01369865027466,0.602739730054932,0.652739730054932,138.09447051472398,2.301574508578733,138.09417951049545,2.3015696585082575,0.0002910042285293457,4.8500704754890956e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.0488034532900175,0.6097606906580035,0.6597606906580036,195.79643494195443,3.2632739156992403,195.79736419393157,3.263289403232193,-0.000929251977140666,-1.5487532952344433e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.083908256305375,0.616781651261075,0.666781651261075,254.57805823874878,4.242967637312479,254.58007721259764,4.243001286876628,-0.0020189738488625153,-3.3649564147708586e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.119013059320732,0.6238026118641464,0.6738026118641465,313.4305767520318,5.223842945867196,313.4334028303356,5.22389004717226,-0.0028260783037694637,-4.7101305062824396e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.1541178623360895,0.6308235724672179,0.6808235724672179,371.3689548460843,6.189482580768072,371.37331973708206,6.189555328951368,-0.004364890997749171,-7.274818329581952e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.189222665351447,0.6378445330702893,0.6878445330702894,427.05460305314864,7.117576717552478,427.06117479928616,7.1176862466547695,-0.006571746137524315,-0.00010952910229207191,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.224327468366804,0.6448654936733609,0.6948654936733609,477.9063598256207,7.965105997093678,477.91497781007,7.9652496301678335,-0.00861798444930173,-0.00014363307415502882,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.2594322713821615,0.6518864542764323,0.7018864542764324,515.3639661288407,8.58939943548068,515.3816646064988,8.589694410108313,-0.01769847765808663,-0.0002949746276347772,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.294537074397519,0.6589074148795038,0.7089074148795038,122.41863065545476,2.040310510924246,122.41842304026068,2.0403070506710113,0.00020761519408551976,3.4602532347586625e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.329641877412876,0.6659283754825752,0.7159283754825753,179.59804794215142,2.993300799035857,179.59885204117109,2.993314200686185,-0.000804099019660498,-1.3401650327674967e-05,0.1,4.277471558827524,0.1,0.25
