condition,kappa,tau_label,DC,AC,f_Hz,ablation,alpha,A_dt,avg_dt,Q_window_lo,Q_window_hi_strict,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,status,infeasible_reason
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,asymBV_alpha_up,0.6,-763.9929724719458,-0.2483722277216989,1025.0,4101.0,4339.893225709093,238.8932257090928,0.22269667910178656,0.7087342082914576,0.7906689767001678,0.3312012137309106,-,valid,
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,asymBV_alpha_up,0.6,-8832.467620475885,-2.8714134006748653,1025.0,4101.0,4165.769616351225,64.76961635122461,0.2236010152311859,0.7084928542911437,0.7637968536000784,0.34451654457466874,-,valid,
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,asymBV_alpha_up,0.6,-25584.656956520765,-8.317508763498298,1025.0,4101.0,4259.900790987145,158.90079098714523,0.22534720072323847,0.6957451234117485,0.7791023849126778,0.33204064196538435,-,valid,
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,asymBV_alpha_up,0.6,,,,4002.844023047586,3949.7713309977144,-53.07269204987142,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,asymBV_alpha_up,0.6,,,,3929.613504077171,3883.9440230434975,-45.66948103367349,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,asymBV_alpha_up,0.6,-9817.113317529933,-3.7607893383666195,1025.0,3635.3863934568817,3671.6853284612275,36.29893500434582,0.23297220064383747,0.6844663536141742,0.6854521330874602,0.39035181174781824,-,valid,
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,asymBV_alpha_up,0.6,,,,3914.3645162661296,3861.652697398166,-52.71181886796376,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,asymBV_alpha_up,0.6,,,,3861.189961016593,3797.3767308101246,-63.81323020646823,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,asymBV_alpha_up,0.6,-7884.557333738361,-3.1237488578407016,1025.0,3549.0688968794307,3587.9338051062136,38.86490822678297,0.23270237856351952,0.6804779421090411,0.6717300829046609,0.39241278527448503,-,valid,
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,asymBV_alpha_up,0.6,,,,4101.0,4029.908540814072,-71.09145918592822,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,asymBV_alpha_up,0.6,,,,4070.813526025977,4004.1885245939993,-66.62500143197758,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,asymBV_alpha_up,0.6,-6826.902361819672,-2.3836983959115425,1025.0,3888.995870253131,3901.826397080572,12.830526827440735,0.22811838305133075,0.6932218598223645,0.7209578617252896,0.36756888040490027,-,valid,
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,asymBV_alpha_up,0.6,,,,3821.800318654056,3774.1905424480597,-47.60977620599624,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,asymBV_alpha_up,0.6,,,,3798.7754028010454,3778.874975902071,-19.900426898974274,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,asymBV_alpha_up,0.6,,,,3733.2113226046863,3712.1852068541566,-21.026115750529698,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,asymBV_alpha_up,0.6,,,,3711.5008751010614,3596.3883740015744,-115.11250109948696,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,asymBV_alpha_up,0.6,-6752.00780943601,-2.623531366239156,1025.0,3598.6333463834444,3631.0628337239855,32.42948734054107,0.23297839525325173,0.6762219476374867,0.6780693959928084,0.3882979966297163,-,valid,
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,asymBV_alpha_up,0.6,,,,3718.187383695517,3713.8474678852012,-4.339915810315688,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,asymBV_alpha_up,0.6,-778.5915042894785,-0.30736278886592483,1025.0,3558.1352151060455,3577.1124294467054,18.977214340659884,0.23352658134014936,0.6610967672343667,0.6697358444243894,0.3720030551958486,-,valid,
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,asymBV_alpha_up,0.6,-87.0126842789284,-0.034818467988394185,1025.0,3524.0382778453027,3562.392169590615,38.35389174531247,0.23227602944533698,0.663804498690126,0.6672042026154319,0.37208703664628295,0,valid,
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,asymBV_alpha_up,0.6,-536.6676218353725,-0.20951189592887115,1025.0,3586.513843670099,3645.6790495789237,59.165205908824646,0.2308320513620539,0.6665489382491914,0.6805696150207894,0.3634342442043594,-,valid,
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,asymBV_alpha_up,0.6,-50.75773283380235,-0.020463088953173978,1025.0,3505.4531197588058,3545.037297172385,39.584177413579255,0.23253282232480676,0.6641292314499444,0.6643689696524369,0.3737043912687183,0,valid,
