parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Maximum negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Maximum negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Maximum positive particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Maximum positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Minimum negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Minimum negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Minimum positive particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Minimum positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Negative electrode stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Positive electrode stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Positive particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,R-averaged negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,R-averaged positive particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,X-averaged negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,X-averaged negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,X-averaged positive particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,X-averaged positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Average negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Average negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Average positive particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Average positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Battery negative particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Battery particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Battery positive particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Maximum negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Maximum negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Maximum positive particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Maximum positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Minimum negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Minimum negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Minimum positive particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Minimum positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Negative particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Positive particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,Positive particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,R-averaged negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,R-averaged negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,R-averaged positive particle concentration
