condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,dtQ_min,dtQ_max,dtQ_range,dtQ_n_cross,dtQ_fraction_positive,dtQ_mean_early,dtQ_mean_mid,dtQ_mean_late,status,infeasible_reason,trajectory_class,trajectory_class_robust
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,baseline_strict,-775.3551279666896,-0.3060851719809321,1025.0,3558.1352151060455,3630.475150379469,72.33993527342363,0.2335288921887807,0.6610879358057247,0.6791540443708926,0.3650157359050071,-,-0.679906958398946,-0.0011269644314362,0.6787799939675097,0.0,0.0,-0.1577925584540316,-0.4940617615732262,-0.2694670529178062,valid,,downward_drift,weak_drift
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,baseline_strict,-81.35944129124132,-0.0325563005627069,1025.0,3524.0382778453027,3585.9303629759615,61.89208513065887,0.2322345088446074,0.6638462829330087,0.6718389580697632,0.3681263083133248,0,-0.066883733291407,0.0007060159326101,0.0675897492240172,0.0,0.0625,-0.0334381758390498,-0.0320056500838908,-0.0317462083627097,valid,,flat,flat
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,baseline_strict,-539.4734894348175,-0.2106072902037757,1025.0,3586.513843670099,3739.6220303939554,153.1081867238563,0.230828385083349,0.6665545440430226,0.6963996924282085,0.3544050699259638,-,-0.4111966791375759,-0.0037143076035704,0.4074823715340054,0.0,0.0,-0.2114781517974533,-0.2078840680428515,-0.2078991226590123,valid,,weak_drift,weak_drift
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,baseline_strict,-51.70825921009564,-0.0208462957022641,1025.0,3505.4531197588058,3629.8938224226777,124.44070266387187,0.232552407185644,0.6641094620548122,0.6788186299696262,0.3641546333031619,0,-0.0411696821808088,-0.0007651277973764,0.0404045543834324,0.0,0.0,-0.020899256382791,-0.0207374140044252,-0.0206373330945193,valid,,flat,flat
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,PE_A1a,-3315.068445822021,-1.1117647920142537,1025.0,4006.807365761156,4057.2118262294152,50.40446046825946,0.2248749960850737,0.7087533835174004,0.7459557619974247,0.3645121740466309,-,-1.8661347288348529,-0.419553415754702,1.4465813130801508,0.0,0.0,-0.9039079505883332,-1.0618098806104452,-1.3580927761156665,valid,,downward_drift,downward_drift
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,PE_A1a,-1001.3780612930728,-0.3255455335803227,1025.0,4101.0,4772.25923451873,671.2592345187304,0.2201171107948151,0.7177197919815658,0.8631009772473595,0.2890859480062215,-,-0.7204621375581458,-0.0533570356496056,0.6671051019085401,0.0,0.0,-0.2194801660035771,-0.1303050535658246,-0.6265613518749461,valid,,downward_drift,weak_drift
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,PE_A1a,-766.7273743137916,-0.2492611750044836,1025.0,4101.0,4533.565228430562,432.56522843056155,0.2226476058164057,0.7087582705959677,0.8240454726807104,0.3089545986330752,-,-0.6104725610835279,-0.0594977941192458,0.550974766964282,0.0,0.0,-0.1014125255967973,-0.070152543846001,-0.5745109610003134,valid,,downward_drift,weak_drift
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,PE_A1a,-8767.234279995779,-2.850206202859486,1025.0,4101.0,4366.6501765130715,265.65017651307153,0.2233611213002884,0.7087401036424238,0.7977200716139218,0.3213566770250642,-,-5.434234123735163,-0.2461924652528372,5.188041658482326,0.0,0.0,-2.998199922620749,-2.826232948531101,-2.80489688948169,valid,,upward_drift,weak_drift
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,PE_A1a,-25547.053818515888,-8.305284076240536,1025.0,4101.0,4341.841233483051,240.84123348305093,0.2252706171683625,0.695748915132872,0.7941630345111843,0.3182907950745687,-,-19.102853367463226,-0.0402925063141689,19.062560861149056,0.0,0.0,-7.43606091972334,-10.284853563446571,-7.064694323119478,valid,,upward_drift,weak_drift
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,PE_A1a,-1072.658260127114,-0.3602130440093816,1025.0,4002.844023047586,4053.139671387586,50.2956483400003,0.2219174223471396,0.71117664549696,0.7422883620626296,0.3642764306334299,-,-0.593441744364524,-0.1449530974973261,0.4484886468671978,0.0,0.0,-0.2321270568203454,-0.3556918969056284,-0.4884090075515231,valid,,downward_drift,weak_drift
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,PE_A1a,-1659.476199173173,-0.5713242732101143,1025.0,3929.613504077171,3981.3016064196295,51.68810234245848,0.2259959158863901,0.7027226961305155,0.733169518968444,0.3674136080474324,-,-1.0897977419833296,-0.1069859659894063,0.9828117759939232,0.0,0.0,-0.4867523266454178,-0.5639246771578745,-0.6541987640392974,valid,,downward_drift,weak_drift
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,PE_A1a,-9543.966606613918,-3.6561509171732376,1025.0,3635.3863934568817,3701.703527872953,66.31713441607144,0.2326301083360804,0.6847424059332083,0.6911127012093419,0.382913776868127,-,-8.152007451596031,0.0031002266132873,8.155107678209319,0.0,0.0125,-3.466306886372813,-3.902897353251684,-3.602103048127719,valid,,downward_drift,weak_drift
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,PE_A1a,-660.6284796061758,-0.2286414455106181,1025.0,3914.3645162661296,3970.189017598947,55.82450133281736,0.2229146306112318,0.704720752443887,0.7293440462491677,0.3667672214185735,-,-0.3812494295117782,-0.0833557280874932,0.297893701424285,0.0,0.0,-0.1492638225822608,-0.2257032200315375,-0.3087498471876362,valid,,downward_drift,flat
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,PE_A1a,-1181.8490997975457,-0.4167030826714894,1025.0,3861.189961016593,3912.1840610720897,50.9941000554968,0.2249997891426436,0.7030359929847727,0.7220819380605016,0.3695343785474226,-,-0.8161042054628525,-0.0624739513578409,0.7536302541050115,0.0,0.0,-0.3904498383907778,-0.4146504830588128,-0.4467699778492591,valid,,weak_drift,weak_drift
