parameter_set,model_type,condition,reference_condition,Q_Ah,feature_id,x_DC,x_DCAC,delta_x,t_DC_s,t_DCAC_s,delta_t_raw_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_avg_surface_sto,0.4514701497643159,0.4573405168023777,0.005870367038061819,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_max_surface_sto,0.45147014976431593,0.45734051680237764,0.005870367038061708,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_min_surface_sto,0.45147014976431593,0.45734051680237764,0.005870367038061708,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,pos_avg_sto,0.5735662149361292,0.5735609722495737,-5.242686555551046e-06,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,pos_avg_surface_sto,0.5519418815731361,0.5408782313919579,-0.011063650181178164,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,elyte_c_mean,983.0036964463769,963.5107540999884,-19.49294234638853,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,elyte_c_range,354.85215340606317,777.911291390397,423.0591379843338,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,eta_n_mean,-0.033997712115278175,-0.06950579047045356,-0.03550807835517539,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,eta_p_mean,0.003629725498768937,0.007811103956046351,0.004181378457277414,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,j_n_mean_signed,-0.4464741494515072,-1.020651091561046,-0.5741769421095388,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,j_p_mean_signed,0.5055063587470554,1.1556002009972364,0.650093842250181,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,cell_temperature_K,298.15,298.15,0.0,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,total_heating_mean,0.0,0.0,0.0,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_surface_minus_avg_sto,0.004949732815026088,0.010812244013541718,0.00586251119851563,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,pos_surface_minus_avg_sto,-0.02162433336299317,-0.03268274085761584,-0.011058407494622672,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_surface_sto_range,0.0,0.0,0.0,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,neg_avg_sto,0.45335325009336713,0.45336274204863186,9.49195526472879e-06,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,neg_avg_surface_sto,0.4583029829083931,0.4645672401787108,0.006264257270317708,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,neg_max_surface_sto,0.45830298290839316,0.46456724017871076,0.006264257270317597,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,neg_min_surface_sto,0.45830298290839316,0.46456724017871076,0.006264257270317597,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,pos_avg_sto,0.5690062436869814,0.5689999091194331,-6.334567548282877e-06,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,pos_avg_surface_sto,0.5473819098339525,0.5369069208032157,-0.010474989030736848,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,elyte_c_mean,983.0036964463769,964.858273632834,-18.14542281354295,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,elyte_c_range,354.8521534060633,733.8871788833937,379.03502547733046,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,eta_n_mean,-0.03396071979629532,-0.08042029039298196,-0.046459570596686636,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,eta_p_mean,0.0036264117916304447,0.010008191456445784,0.006381779664815339,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.2307751910121563,j_n_mean_signed,-0.4464741494515072,-1.306792657471038,-0.8603185080195308,5353.860458429177,5287.614134310603,66.2463241185742,0.5,2.0,0.008764875571101144,114.09175086262731
