case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch,CC_time_s_partial,V_min_phase2
DC0.90C+AC0.10C_f0.00086Hz_X6alphaNS,0.9,0.1,0.00086,0.11111111111111112,0.7329020500183105,2.986780575624472,3470.594900530254,4695.423532441077,8166.018432971332,57.8432483421709,78.25705887401796,136.10030721618887,5820.45189350201,ok,0.9+0.1C 16.7τ,16.7τ,X6alpha-NS,,
DC0.90C+AC0.10C_f0.00860Hz_X6alphaNS,0.9,0.1,0.0086,0.11111111111111112,0.6184170246124268,2.986780575624472,3455.922611329252,4699.376713995515,8155.299325324768,57.59871018882087,78.3229452332586,135.92165542207945,5821.284648342673,ok,0.9+0.1C 1.67τ,1.67τ,X6alpha-NS,,
DC0.90C+AC0.10C_f0.00143Hz_X6alphaNS,0.9,0.1,0.00143,0.11111111111111112,0.5936169624328613,2.986780575624472,3454.947781169064,4708.852266540696,8163.80004770976,57.5824630194844,78.4808711090116,136.063334128496,5821.354714799349,ok,0.9+0.1C 10τ,10τ,X6alpha-NS,,
DC0.90C+AC0.10C_f0.01430Hz_X6alphaNS,0.9,0.1,0.0143,0.11111111111111112,0.6514172554016113,2.986780575624472,3472.0983072204745,4678.3331248075865,8150.431432028061,57.86830512034124,77.9722187467931,135.84052386713435,5821.000871922907,ok,0.9+0.1C 1τ,1τ,X6alpha-NS,,
DC0.10C_baseline_X6alphaNS,0.1,0.0,0.0,0.0,0.5861561298370361,2.8510231941906072,41182.38098291243,1687.4415481449396,42869.82253105737,686.3730163818739,28.12402580241566,714.4970421842895,5819.813854584457,ok,0.1C_DC,baseline,X6alpha-NS,,
DC0.20C_baseline_X6alphaNS,0.2,0.0,0.0,0.0,0.6862962245941162,2.8789075101100035,20122.706174796258,2400.2192756021286,22522.925450398387,335.3784362466043,40.00365459336881,375.3820908399731,5820.164402655801,ok,0.2C_DC,baseline,X6alpha-NS,,
DC0.30C_baseline_X6alphaNS,0.3,0.0,0.0,0.0,0.583064079284668,2.901353735030768,13049.383836322462,2901.632692408988,15951.01652873145,217.48973060537438,48.360544873483136,265.8502754788575,5820.2720219801795,ok,0.3C_DC,baseline,X6alpha-NS,,
DC0.40C_baseline_X6alphaNS,0.4,0.0,0.0,0.0,0.5815179347991943,2.9200520856860797,9423.618234731983,3365.8569560441138,12789.475190776096,157.0603039121997,56.097615934068564,213.15791984626827,5820.275929723747,ok,0.4C_DC,baseline,X6alpha-NS,,
DC0.50C_baseline_X6alphaNS,0.5,0.0,0.0,0.0,0.692389965057373,2.9362122937495934,7166.409806223383,3825.8422155800454,10992.25202180343,119.44016343705638,63.76403692633409,183.2042003633905,5820.126616986501,ok,0.5C_DC,baseline,X6alpha-NS,,
DC0.90C_baseline_X6alphaNS,0.9,0.0,0.0,0.0,0.5853621959686279,2.986780575624472,3495.4028256214747,4660.4781355653795,8155.880961186855,58.25671376035791,77.67463559275633,135.93134935311426,5820.83939105142,ok,0.9C_DC,baseline,X6alpha-NS,,
