protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.23,False,A_shared_prescribed_current,7871.414267932288,7849.075528185091,22.338739747196996,7870.588235293029,7833.526468337585,37.061766955444,-14.723027208247004,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.2399999999999998,False,A_shared_prescribed_current,7906.712219165833,7860.082697239575,46.62952192625744,7905.882352940077,7892.641579674815,13.24077326526185,33.38874866099559,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.25,False,A_shared_prescribed_current,7942.010169244792,7919.225657654175,22.784511590617512,7941.176470587127,7903.54363101856,37.63283956856776,-14.848327977950248,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.26,False,A_shared_prescribed_current,7977.308091003805,7930.256419346139,47.05167165766579,7976.470588234175,7962.661947239125,13.808640995050155,33.24303066261564,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.27,False,A_shared_prescribed_current,8012.605873133513,7989.375506209087,23.230366924426562,8011.7647058812245,7973.563180230011,38.20152565121316,-14.971158726786598,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.28,False,A_shared_prescribed_current,8047.903641607559,8000.432607102015,47.471034505543685,8047.058823528273,8032.679928664451,14.378894863822097,33.09213964172159,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.29,False,A_shared_prescribed_current,8083.20146133198,8059.5226114233765,23.678849908603297,8082.3529411753225,8043.585295773695,38.767645401627306,-15.088795493024008,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.3,False,A_shared_prescribed_current,8118.499400079479,8070.616778985871,47.88262109360767,8117.647058822371,8102.695687905427,14.951370916944143,32.931250176663525,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.31,False,A_shared_prescribed_current,8153.797434661807,8129.66905125967,24.128383402136933,8152.9411764694205,8113.610168054449,39.33100841497162,-15.202625012834687,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.32,False,A_shared_prescribed_current,8189.095453977263,8140.802024871101,48.293429106161966,8188.235294116468,8172.709380680039,15.52591343642871,32.76751566973326,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
