protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,0.7400000000000001,-3.497643800474179,0.2834697230746315,3.781113523548811,-3.4976438004741794,4.440892098500626e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.7500000000000001,-3.47370641735597,0.2870203605257302,3.7607267778817004,-3.47370641735597,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.76,-3.4346543786082293,0.2906988363606615,3.725353214968891,-3.4346543786082293,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.77,-3.3814147911466534,0.2944262192795577,3.675841010426211,-3.3814147911466534,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.78,-3.316991785062328,0.29792976308726793,3.6149215481495958,-3.316991785062328,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.79,-3.1570682247697732,0.30140935474764774,3.458477579517421,-3.1570682247697732,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8,-2.8652754286808886,0.30502720473168665,3.1703026334125752,-2.8652754286808886,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.81,-2.287883467293341,0.30862818072500886,2.5965116480183497,-2.287883467293341,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8200000000000001,1.3317277430364811,0.3123235410230336,-1.0194042020134475,1.3317277430364811,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8300000000000001,1.3639749709482205,0.31599575520522194,-1.0479792157429983,1.3639749709482203,2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.8400000000000001,1.3684526029605877,0.31951422960628406,-1.0489383733543036,1.3684526029605877,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8500000000000001,1.346381455284245,0.323186534274555,-1.02319492100969,1.346381455284245,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8600000000000001,1.2780276412422609,0.3268117257857739,-0.951215915456487,1.2780276412422609,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8700000000000001,1.1443662986048366,0.33034605553302754,-0.8140202430718091,1.1443662986048366,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.8800000000000001,-3.0108337211545404,0.3339085549741867,3.344742276128727,-3.0108337211545404,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.89,-2.9963833804831665,0.3374563125921668,3.3338396930753333,-2.9963833804831665,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.9,-3.0459678006682225,0.341135849136208,3.3871036498044305,-3.0459678006682225,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.91,-2.943756375898829,0.3449148609756776,3.2886712368745066,-2.943756375898829,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.92,-2.894296914109418,0.34860155755404776,3.242898471663466,-2.894296914109418,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.93,-2.8337755246402594,0.3522012004195858,3.185976725059845,-2.8337755246402594,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.94,-2.7606326166410327,0.3556651715925909,3.1162977882336236,-2.7606326166410327,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.95,-2.6380275496962895,0.3593143629482256,2.997341912644515,-2.6380275496962895,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.96,-2.3852389331009363,0.36292040958414873,2.748159342685085,-2.3852389331009363,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.97,-1.8951869931997865,0.36659675760756727,2.2617837508073535,-1.8951869931997862,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.98,1.8657899255981647,0.3702056233350959,-1.4955843022635236,1.8657899255986194,-4.547473508864641e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.99,1.853709090423308,0.3738719325629063,-1.479837157860402,1.8537090904233082,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.0,1.718038615983005,0.3774091689301713,-1.3406294470528337,1.718038615983005,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.01,1.2878039240572434,0.3808204544320688,-0.9069834696251746,1.2878039240572434,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.02,-2.458791112754625,0.38410204862157116,2.842893161376196,-2.458791112754625,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.03,-2.450546989600298,0.3875092840057732,2.838056273606071,-2.450546989600298,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.04,-2.432318935109379,0.39095053273194935,2.823269467841328,-2.432318935109379,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.05,-2.404123602007985,0.39439469246644876,2.798518294474434,-2.404123602007985,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.06,-2.3680089845879593,0.3977176543899077,2.765726638977867,-2.3680089845879593,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.07,-2.3308378396709486,0.40110366747830994,2.7319415071492585,-2.3308378396709486,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.08,-2.2826882027761712,0.4044681542713988,2.68715635704757,-2.2826882027761712,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.09,-2.235256479628333,0.4078382020770732,2.6430946817054064,-2.235256479628333,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.1,-2.1853136652298417,0.4114287166612485,2.59674238189109,-2.1853136652298417,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.11,-2.1296819173394397,0.415042036684099,2.5447239540235387,-2.1296819173394397,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.12,-2.0645634697416426,0.41865075730447643,2.483214227046119,-2.0645634697416426,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.13,-1.76780793728949,0.4221793060605705,2.1899872433514247,-1.7678079372908542,1.3642420526593924e-12
0.3C DC vs 0.3C+0.7C 0.1tau,1.14,2.273954633225003,0.4256031802988218,-1.8483514529266358,2.2739546332254577,-4.547473508864641e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.15,2.180275758498283,0.4291039604618163,-1.7511717980369212,2.1802757584987376,-4.547473508864641e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.16,1.9552344990243,0.4326211786788008,-1.522613320345954,1.9552344990247548,-4.547473508864641e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.1700000000000002,-1.9419948042987016,0.43613329701929615,2.378128101317998,-1.9419948042987016,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.1800000000000002,-1.917503634967943,0.43935249859441683,2.35685613356236,-1.917503634967943,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.1900000000000002,-1.882156908073739,0.4425991483067264,2.3247560563804655,-1.882156908073739,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.2000000000000002,-1.840459723991444,0.44588058814588294,2.2863403121373267,-1.8404597239914438,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.21,-1.804180064104912,0.44920510458632634,2.2533851686912385,-1.8041800641049122,2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.22,-1.758548928658456,0.45270541007630527,2.2112543387347614,-1.7585489286584561,2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.23,-1.7182391355672737,0.45620872810832225,2.1744478636755957,-1.7182391355672735,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.24,-1.676653545247973,0.4596372269870699,2.136290772235043,-1.676653545247973,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.25,-1.6367411293349503,0.46306948789788294,2.0998106172328335,-1.6367411293349505,2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,1.26,-1.5959991073696074,0.46667729555429105,2.0626764029238984,-1.5959991073696074,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.27,-1.556703681988438,0.47029773896520055,2.0270014209536384,-1.556703681988438,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.28,-1.5111880610184016,0.4739029170168578,1.9850909780352595,-1.5111880610184016,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.29,-1.468449681090533,0.47751592885742866,1.9459656099479616,-1.468449681090533,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.3,2.763371719449424,0.48099620288303413,-2.2823755165663897,2.763371719449424,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.31,-1.4473970622220804,0.4845046147293033,1.9319016769513837,-1.4473970622220804,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.32,-1.418858878928404,0.48790687206565053,1.9067657509940545,-1.418858878928404,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.33,-1.385953340105516,0.4915207298809037,1.8774740699864196,-1.385953340105516,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.34,-1.351143504938591,0.49526206509290205,1.846405570031493,-1.351143504938591,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.35,-1.3142394141113982,0.4990173961596156,1.8132568102710138,-1.3142394141113982,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.36,-1.2737133367718343,0.5026504214083616,1.7763637581801959,-1.2737133367718343,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.37,-1.2316949216374269,0.506214542429916,1.737909464067343,-1.2316949216374269,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.38,-1.1876155204308816,0.509825283174905,1.6974408036076056,-1.1876155204327006,1.8189894035458565e-12
0.3C DC vs 0.3C+0.7C 0.1tau,1.39,-1.1454662900187031,0.513468491661115,1.6589347816789086,-1.1454662900177937,-9.094947017729282e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.4,-1.1045112985948435,0.5173649817752448,1.6218762803700884,-1.1045112985948435,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.41,-1.0649048279037745,0.5213029453307172,1.5862077732344915,-1.0649048279037743,-2.220446049250313e-16
