t_s,I_charge_A,I_py_A,Q_geom_Ah,AC_C_scheduled,condition
104.5,1.5,-1.5,0.043541666666666666,0.0,Chen2020_DFN_Day34_DC03
105.0,1.5,-1.5,0.04375,0.0,Chen2020_DFN_Day34_DC03
105.5,1.5,-1.5,0.043958333333333335,0.0,Chen2020_DFN_Day34_DC03
106.0,1.5,-1.5,0.04416666666666667,0.0,Chen2020_DFN_Day34_DC03
106.5,1.5,-1.5,0.044375,0.0,Chen2020_DFN_Day34_DC03
107.0,1.5,-1.5,0.044583333333333336,0.0,Chen2020_DFN_Day34_DC03
107.5,1.5,-1.5,0.04479166666666667,0.0,Chen2020_DFN_Day34_DC03
108.0,1.5,-1.5,0.045,0.0,Chen2020_DFN_Day34_DC03
108.5,1.5,-1.5,0.045208333333333336,0.0,Chen2020_DFN_Day34_DC03
109.0,1.5,-1.5,0.04541666666666667,0.0,Chen2020_DFN_Day34_DC03
109.5,1.5,-1.5,0.045625,0.0,Chen2020_DFN_Day34_DC03
110.0,1.5,-1.5,0.04583333333333333,0.0,Chen2020_DFN_Day34_DC03
110.5,1.5,-1.5,0.04604166666666667,0.0,Chen2020_DFN_Day34_DC03
111.0,1.5,-1.5,0.04625,0.0,Chen2020_DFN_Day34_DC03
111.5,1.5,-1.5,0.04645833333333333,0.0,Chen2020_DFN_Day34_DC03
112.0,1.5,-1.5,0.04666666666666667,0.0,Chen2020_DFN_Day34_DC03
112.5,1.5,-1.5,0.046875,0.0,Chen2020_DFN_Day34_DC03
113.0,1.5,-1.5,0.04708333333333333,0.0,Chen2020_DFN_Day34_DC03
113.5,1.5,-1.5,0.04729166666666667,0.0,Chen2020_DFN_Day34_DC03
114.0,1.5,-1.5,0.0475,0.0,Chen2020_DFN_Day34_DC03
114.5,1.5,-1.5,0.04770833333333333,0.0,Chen2020_DFN_Day34_DC03
115.0,1.5,-1.5,0.04791666666666667,0.0,Chen2020_DFN_Day34_DC03
115.5,1.5,-1.5,0.048125,0.0,Chen2020_DFN_Day34_DC03
116.0,1.5,-1.5,0.04833333333333333,0.0,Chen2020_DFN_Day34_DC03
116.5,1.5,-1.5,0.048541666666666664,0.0,Chen2020_DFN_Day34_DC03
117.0,1.5,-1.5,0.04875,0.0,Chen2020_DFN_Day34_DC03
117.5,1.5,-1.5,0.04895833333333333,0.0,Chen2020_DFN_Day34_DC03
118.0,1.5,-1.5,0.049166666666666664,0.0,Chen2020_DFN_Day34_DC03
118.5,1.5,-1.5,0.049375,0.0,Chen2020_DFN_Day34_DC03
119.0,1.5,-1.5,0.04958333333333333,0.0,Chen2020_DFN_Day34_DC03
119.5,1.5,-1.5,0.049791666666666665,0.0,Chen2020_DFN_Day34_DC03
120.0,1.5,-1.5,0.05,0.0,Chen2020_DFN_Day34_DC03
120.5,1.5,-1.5,0.050208333333333334,0.0,Chen2020_DFN_Day34_DC03
121.0,1.5,-1.5,0.050416666666666665,0.0,Chen2020_DFN_Day34_DC03
121.5,1.5,-1.5,0.050625,0.0,Chen2020_DFN_Day34_DC03
122.0,1.5,-1.5,0.050833333333333335,0.0,Chen2020_DFN_Day34_DC03
122.5,1.5,-1.5,0.051041666666666666,0.0,Chen2020_DFN_Day34_DC03
123.0,1.5,-1.5,0.05125,0.0,Chen2020_DFN_Day34_DC03
123.5,1.5,-1.5,0.051458333333333335,0.0,Chen2020_DFN_Day34_DC03
124.0,1.5,-1.5,0.051666666666666666,0.0,Chen2020_DFN_Day34_DC03
124.5,1.5,-1.5,0.051875,0.0,Chen2020_DFN_Day34_DC03
125.0,1.5,-1.5,0.052083333333333336,0.0,Chen2020_DFN_Day34_DC03
125.5,1.5,-1.5,0.05229166666666667,0.0,Chen2020_DFN_Day34_DC03
126.0,1.5,-1.5,0.0525,0.0,Chen2020_DFN_Day34_DC03
126.5,1.5,-1.5,0.052708333333333336,0.0,Chen2020_DFN_Day34_DC03
127.0,1.5,-1.5,0.05291666666666667,0.0,Chen2020_DFN_Day34_DC03
127.5,1.5,-1.5,0.053125,0.0,Chen2020_DFN_Day34_DC03
128.0,1.5,-1.5,0.05333333333333334,0.0,Chen2020_DFN_Day34_DC03
128.5,1.5,-1.5,0.05354166666666667,0.0,Chen2020_DFN_Day34_DC03
129.0,1.5,-1.5,0.05375,0.0,Chen2020_DFN_Day34_DC03
129.5,1.5,-1.5,0.05395833333333333,0.0,Chen2020_DFN_Day34_DC03
130.0,1.5,-1.5,0.05416666666666667,0.0,Chen2020_DFN_Day34_DC03
130.5,1.5,-1.5,0.054375,0.0,Chen2020_DFN_Day34_DC03
131.0,1.5,-1.5,0.05458333333333333,0.0,Chen2020_DFN_Day34_DC03
131.5,1.5,-1.5,0.05479166666666667,0.0,Chen2020_DFN_Day34_DC03
132.0,1.5,-1.5,0.055,0.0,Chen2020_DFN_Day34_DC03
132.5,1.5,-1.5,0.05520833333333333,0.0,Chen2020_DFN_Day34_DC03
133.0,1.5,-1.5,0.05541666666666667,0.0,Chen2020_DFN_Day34_DC03
133.5,1.5,-1.5,0.055625,0.0,Chen2020_DFN_Day34_DC03
134.0,1.5,-1.5,0.05583333333333333,0.0,Chen2020_DFN_Day34_DC03
134.5,1.5,-1.5,0.05604166666666666,0.0,Chen2020_DFN_Day34_DC03
135.0,1.5,-1.5,0.05625,0.0,Chen2020_DFN_Day34_DC03
135.5,1.5,-1.5,0.05645833333333333,0.0,Chen2020_DFN_Day34_DC03
136.0,1.5,-1.5,0.056666666666666664,0.0,Chen2020_DFN_Day34_DC03
136.5,1.5,-1.5,0.056875,0.0,Chen2020_DFN_Day34_DC03
