condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.6397468478671496,1433.546220667592,0.18038110660055945,0.1931575320467214,0.21681387084149,0.18319874220035506,0.7511774016676964,0.7165079720877595,960.0106215237594,852.4770136432768,-0.09757721846910072,0.012241155390228287,-1.4664727683791912,1.6603678180249044,298.15,0.0,0.012776425446161956,-0.03466942957993698,0.03361512864113494
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.6797238340368905,1468.6410093352358,0.18723950563927352,0.19867497549330176,0.22531236315683276,0.1871713251254037,0.7466003687192428,0.710153369230358,961.4772322087945,851.5137185453872,-0.07131913345304634,0.007145154409238592,-0.852686163912705,0.9654271773377043,298.15,0.0,0.011435469854028239,-0.03644699948888483,0.03814103803142907
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.7197008202066313,1650.7988945643078,0.19411489570435386,0.20580334817993157,0.2320069639342034,0.19445739874776233,0.7420119966102854,0.7105593033419627,963.9897543916917,752.0765620392591,-0.09599415650869747,0.012427631920970215,-1.4828592619889687,1.678920911732713,298.15,0.0,0.01168845247557771,-0.03145269326832275,0.03754956518644105
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.7596778063763723,1681.274004689595,0.20097327742717827,0.21391449796501313,0.2446208566385527,0.20024615503989282,0.7374349752177941,0.6999175517641786,957.9507915504288,919.6411824189629,-0.087537699654052,0.009952745359585374,-1.2144344609952802,1.3750053459296772,298.15,0.0,0.01294122053783486,-0.03751742345361559,0.04437470159865988
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.799654792546113,1867.8207848217946,0.20788013608575215,0.2178471465313901,0.24479880178552238,0.20550574496335752,0.7328256021742966,0.7055591468758683,969.9349617274211,614.1467601222255,-0.09101736958076256,0.011910056696197716,-1.4041399370194778,1.5897934238513,298.15,0.0,0.009967010445637947,-0.02726645529842831,0.03929305682216487
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.839631778715854,1897.1614746241564,0.21473873833390064,0.22785701854572737,0.259704165512507,0.21294300584259793,0.7282484336116466,0.6919221047238207,958.0184145547387,903.59373579342,-0.09358217394403576,0.011405994016259927,-1.4046265096523276,1.590344330507282,298.15,0.0,0.01311828021182671,-0.03632632888782592,0.04676115966990909
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.8796087648855948,1941.809315500872,0.2215917832624703,0.2300993795146203,0.2614386381610832,0.21502273894205234,0.7236749737913252,0.6912363322336142,968.8939948604896,687.7990064525577,-0.036624665705131544,0.0032117724530466257,-0.3819943102377131,0.4325010822409358,298.15,0.0,0.008507596252149998,-0.03243864155771085,0.04641589921903086
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.9195857510553358,2114.1852138065387,0.22850685893897166,0.2409789247638424,0.27168536511111674,0.2257897753028412,0.7190601170246463,0.6852895344416889,960.4556644867547,835.4855277645469,-0.09471329151903511,0.01204085589372164,-1.4833514191170347,1.6794781412079363,298.15,0.0,0.012472065824870733,-0.03377058258295734,0.04589558980827558
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.9595627372250766,2146.9911574098187,0.23536516998899948,0.24756614737625754,0.2803912655108928,0.2310420119366598,0.7144831427964738,0.6771548515994532,958.7234334738146,908.5463919571714,-0.07675111187231021,0.00814890111828317,-1.009871408618087,1.1433952429258767,298.15,0.0,0.01220097738725806,-0.037328291197020656,0.049349253574232976
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.9995397233948176,2331.4379111480516,0.24222946934669398,0.25337736380769066,0.28153590843264975,0.23879874967761489,0.7099021722010244,0.6797850039683436,965.0952007898787,722.9670284232498,-0.09210596034461441,0.01199374784400616,-1.4660211864310513,1.659856528552152,298.15,0.0,0.011147894460996653,-0.03011716823268073,0.04273715875503488
