protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,0.9,-1.9267520561425044,1.119215744525718,-3.0459678006682225,3.0459678006682225,3178.738476140661,3175.3513724908566,6.974335690969341,0.1162389281828226,0.8993447151749341,3174.6000000000004,0.6552848250659382,0.7513724908562835,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.8800000000000001,-2.4296940853960223,0.5811396357585181,-3.0108337211545404,3.0108337211545404,3108.6459555816277,3105.301213305499,6.974335690969341,0.1162389281828226,0.8793854782904024,3104.6000000000004,0.6145217095977484,0.7012133054986407,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.96,-0.5626653397885093,2.441569948309734,-3.0042352880982435,3.0042352880982435,6918.93694862383,6915.2054888744,6.974335690969341,0.1162389281828226,1.9597610627856996,6914.4,0.23893721430034986,0.8054888743999982,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.89,-2.134666597235082,0.8617167832480845,-2.9963833804831665,2.9963833804831665,3143.648593498147,3140.3147538050716,6.974335690969341,0.1162389281828226,0.8893722932992814,3139.6000000000004,0.6277067007186554,0.7147538050712683,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.0999999999999996,-0.7621302703237234,2.218205302345268,-2.9803355726689915,2.9803355726689915,7413.303927522228,7409.546500579048,6.974335690969341,0.1162389281828226,2.0998906511458024,7409.299999999999,0.10934885419722207,0.24650057904909772,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.35,1.6512883040377346,4.625103348461153,-2.973815044423418,2.973815044423418,1233.786945491944,1230.669014298577,6.974335690969341,0.1162389281828226,0.3495114686991264,1229.8000000000002,0.48853130087356256,0.8690142985767579,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.91,-1.556209505960851,1.387546869937978,-2.943756375898829,2.943756375898829,3213.665830249382,3210.3771590125075,6.974335690969341,0.1162389281828226,0.9092371279497001,3209.5,0.7628720502999009,0.8771590125074908,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.92,-1.2360712838781185,1.6582256302313,-2.894296914109418,2.894296914109418,3248.6434963709403,3245.400597899277,6.974335690969341,0.1162389281828226,0.9192308554122114,3244.5,0.7691445877886505,0.9005978992768178,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.8,-0.3408456865445259,2.5244297421363626,-2.8652754286808886,2.8652754286808886,2824.1752846560316,2821.004982022619,6.974335690969341,0.1162389281828226,0.7999091534966373,2820.6000000000004,0.09084650336277367,0.40498202261869665,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.93,-0.9124498602222956,1.9213256644179637,-2.8337755246402594,2.8337755246402594,3283.6175922372126,3280.431615512153,6.974335690969341,0.1162389281828226,0.929226061390781,3279.5,0.7739386092190381,0.9316155121528027,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.11,-0.4339974975255245,2.376453195420254,-2.8104506929457784,2.8104506929457784,7448.273563277033,7444.682370333022,6.974335690969341,0.1162389281828226,2.109856068132617,7444.299999999999,0.14393186738281827,0.38237033302266354,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.3,1.2523712120146229,-1.511000507434801,2.763371719449424,2.763371719449424,4587.463919108345,4589.746294624912,6.974335690969341,0.1162389281828226,1.2999977408341798,4586.5,0.0022591658201953635,3.2462946249115703,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,0.94,-0.5862667651445008,2.174365851496532,-2.7606326166410327,2.7606326166410327,3318.5889907603705,3315.472692972137,6.974335690969341,0.1162389281828226,0.9392216974140691,3314.5,0.7783025859308124,0.9726929721368833,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.19,-2.489895447976778,0.2533301283892797,-2.743225576366058,2.743225576366058,7732.712449630666,7729.158434576444,6.974335690969341,0.1162389281828226,2.1892775689218213,7724.299999999999,0.7224310781785981,4.858434576444779,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,2.1999999999999997,-2.199338808554785,0.5379721181816421,-2.737310926736427,2.737310926736427,7767.719958951789,7764.1679102337,6.974335690969341,0.1162389281828226,2.1992506065353217,7763.299999999999,0.7493934646780609,0.8679102337009681,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.21,-1.901456325666004,0.821788187612583,-2.723244513278587,2.723244513278587,7802.720026754183,7799.178211811319,6.974335690969341,0.1162389281828226,2.2092316382223274,7798.299999999999,0.7683617776725882,0.8782118113194883,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.22,-1.5904287032626598,1.1034051327123962,-2.693833835975056,2.693833835975056,7837.706861996512,7834.190712513267,6.974335690969341,0.1162389281828226,2.2192175186364635,7833.299999999999,0.7824813635366468,0.8907125132673173,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.47,0.9214491756795268,3.601895983526219,-2.6804468078466925,2.6804468078466925,1658.09050165654,1655.2216334281816,6.974335690969341,0.1162389281828226,0.46968728487517414,1654.8000000000002,0.3127151248258353,0.42163342818139427,True,False,False
