condition,ablation,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status
0.5+0.5C 1τ,B_Dsn_down,0.03977165383059863,0.06262890267474211,1.0,0.05034492331706131,80.0,80.0,0.4062652549704429,2.21215608500385,ok
0.5+0.5C 1τ,B_Dsn_up,0.05143039963329966,0.08349997921987891,1.0,0.06629652616391762,80.0,80.0,0.4062652549704429,2.21215608500385,ok
0.5+0.5C 1τ,PE_A1a,0.010129774818546891,0.012684278317100107,1.0,0.014756897201535404,80.0,80.0,0.4062652549704429,2.21215608500385,ok
0.5+0.5C 1τ,PE_A2a,0.0487898859967703,0.08187717052395889,1.0,0.05563140641110442,80.0,80.0,0.4062652549704429,2.21215608500385,ok
0.9+0.1C 1.67τ,B_Dsn_down,0.034110938846884785,0.050900212385749814,0.9375,0.0027143147287688046,66.0,80.0,0.066883733291407,0.35832874973144163,ok
0.9+0.1C 1.67τ,B_Dsn_up,0.04434817942129515,0.07319009625708028,0.9375,0.0033703468374786105,66.0,80.0,0.066883733291407,0.35832874973144163,ok
0.9+0.1C 1.67τ,PE_A1a,0.02580925645180192,0.03543195066062615,0.9625,0.002948981462543507,66.0,80.0,0.066883733291407,0.35832874973144163,ok
0.9+0.1C 1.67τ,PE_A2a,0.03353901996250162,0.05426588623246854,0.95,0.0030198736946166994,66.0,80.0,0.066883733291407,0.35832874973144163,ok
0.9+0.1C 10τ,B_Dsn_down,0.006994642096192692,0.015961874547480624,1.0,0.0044277343113208,70.0,80.0,0.4111966791375759,2.268854476180898,ok
0.9+0.1C 10τ,B_Dsn_up,0.008848686462543552,0.021098089581233104,1.0,0.005692924745964497,70.0,80.0,0.4111966791375759,2.268854476180898,ok
0.9+0.1C 10τ,PE_A1a,0.005416384379077007,0.007562986669434349,1.0,0.004109896668819613,70.0,80.0,0.4111966791375759,2.268854476180898,ok
0.9+0.1C 10τ,PE_A2a,0.007748276109555403,0.009860025884307427,1.0,0.007523995723287713,70.0,80.0,0.4111966791375759,2.268854476180898,ok
0.9+0.1C 16.7τ,B_Dsn_down,0.004479583460374845,0.0039072013186127194,1.0,0.004475619002937581,68.0,80.0,0.679906958398946,3.4730375600772474,ok
0.9+0.1C 16.7τ,B_Dsn_up,0.004423542374669208,0.005787873259922416,1.0,0.0038841634007819037,68.0,80.0,0.679906958398946,3.4730375600772474,ok
0.9+0.1C 16.7τ,PE_A1a,0.0025305412349861754,0.0032682339906172538,1.0,0.0024183594425228883,68.0,80.0,0.679906958398946,3.4730375600772474,ok
0.9+0.1C 16.7τ,PE_A2a,0.0048628557374739735,0.00447556155778832,1.0,0.004759596307030822,68.0,80.0,0.679906958398946,3.4730375600772474,ok
0.9+0.1C 1τ,B_Dsn_down,0.04383143775294223,0.0982198387451117,0.9875,0.0018878736436969967,73.0,80.0,0.0411696821808088,0.22431648651890893,ok
0.9+0.1C 1τ,B_Dsn_up,0.024818995954378694,0.05100314447156384,1.0,0.001649420524116301,73.0,80.0,0.0411696821808088,0.22431648651890893,ok
0.9+0.1C 1τ,PE_A1a,0.028880690937850277,0.05904208698369546,1.0,0.0016263358138872,73.0,80.0,0.0411696821808088,0.22431648651890893,ok
0.9+0.1C 1τ,PE_A2a,0.041691015614661056,0.06924504587460566,0.9875,0.002798565938254203,73.0,80.0,0.0411696821808088,0.22431648651890893,ok
