param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,phase,evidence_type,N_Q,n_finite,n_nonfinite,Q_nom_Ah,Q_low_Ah,Q_hi_Ah,window_compatibility_refined,capacity_scale_warning,I_DC_A_used,I_AC_A_used,f_Hz_used,kappa_used,dt_model_mean_s,dt_model_median_s,dt_model_min_s,dt_model_max_s,dt_model_sign_topology,dt_geom_mean_s,dt_geom_median_s,dt_geom_min_s,dt_geom_max_s,dt_geom_sign_topology,dt_resid_mean_s,dt_resid_median_s,dt_resid_min_s,dt_resid_max_s,dt_resid_mean_abs_s,dt_resid_median_abs_s,dt_resid_p95_abs_s,dt_resid_max_abs_s,dt_resid_sign_topology,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,resid_over_model_median,resid_over_model_p95,resid_over_model_max,residual_class,taxonomy,stable_p95_abs_s,stable_max_abs_s,stable_frac_gt_10s,stable_region_verdict,t_max_s_geom,Q_DC_final_mAh_geom,Q_DCAC_final_mAh_geom,n_t_points_geom,fp_mode,dt_eval_geom_s
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.340969167982452,compatible,False,1.0,2.5,0.014338283161432014,2.5,-22.804551220949143,-22.136916055305846,-46.36526439949921,-1.0855198277904492,negative_only,-19.234638424985427,-18.10572299557043,-43.39597036081432,-0.03401118340843823,negative_only,-3.569912795963719,-1.3040965144073198,-46.33125321609077,-0.12359980922246905,3.569912795963719,1.3040965144073198,9.615523451333036,46.33125321609077,negative_only,0.06307041409064575,9.129108792972172,1362.235846359757,0.059327528416862924,0.8794688295231465,0.9992664512140945,inspect_residual,isolated_spike,26.013689907994355,46.33125321609077,0.05555555555555555,stable_intermediate_or_spiky,23441.23350710524,6511.4722222222235,6509.764636356794,234414.0,raw,0.1
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.354194097097451,compatible,False,1.0,2.5,0.0014338283161432013,2.5,-198.30578922654684,-202.79374154127947,-425.7970910412878,-0.285518084450814,negative_only,-198.46808681205417,-202.9166635947746,-426.8979556964514,-0.01703467110201018,negative_only,0.16229758550727952,0.1757528265820838,-1.7034752444496917,1.219483932840376,0.3974361184137996,0.28038545227468603,1.1956155599855265,1.7034752444496917,mixed,0.0014972532122814858,0.14602961196544384,22.070953475966714,0.0014995014083283862,0.14309756355652353,0.9566554541821728,small_residual,weak_distributed_residual,1.1204785859189537,1.7034752444496917,0.0,stable_weak,23512.64812432624,6531.305555555556,6436.54555491521,235128.0,raw,0.1
Mohtat2020,graphite/NMC532,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.196730731965823,compatible,False,1.0,5.0,0.014338283161432014,5.0,-35.68045248831703,-35.52602173967637,-69.82654813115732,-1.2033216580900898,negative_only,-24.4069870696864,-24.308529184172585,-51.67513542652614,-0.00832658142735454,negative_only,-11.273465418630636,-2.870396716004052,-59.80554583172852,-0.14834889504004423,11.273465418630636,2.870396716004052,58.130794530724415,59.80554583172852,negative_only,0.10479106726428403,50.49210381407021,6428.635376416273,0.09484917645781372,0.980199055683676,0.9998444701850951,inspect_residual,mixed_or_intermediate,58.20705593632647,59.80554583172852,0.17777777777777778,stable_intermediate_or_spiky,22662.345952615444,6295.111111111111,6294.025234297028,226625.0,raw,0.1
NCA_Kim2011,graphite/NCA,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,0.43,0.0215,0.4472301451933962,compatible_with_capacity_scale_warning,True,0.08600000000000001,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.43,0.0215,0.4438431515655027,compatible_with_capacity_scale_warning,True,0.08600000000000001,0.215,0.014338283161432014,2.4999999999999996,-18.7071718536291,-17.931394680603717,-42.62714537444754,1.7989654306038574,mixed,-19.501834969853814,-18.92910926300101,-43.29348765007671,-0.017340744613647985,negative_only,0.7946631162247138,0.2998226267109203,-1.3243095734310373,44.918664325592545,0.8518030066334916,0.3296717146104129,0.8290828547287665,44.918664325592545,mixed,0.018329047172679483,1.957775253444211,26.527589747414478,0.018383481409421545,1.0419952823052656,27.63924993652481,inspect_residual,null_residual,0.7821574085824976,44.918664325592545,0.011111111111111112,stable_null,27869.22114481063,665.7666111096607,664.5623330713207,278694.0,raw,0.1
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.43,0.0215,0.4424683312842724,compatible_with_capacity_scale_warning,True,0.08600000000000001,0.215,0.0014338283161432013,2.4999999999999996,-203.58112793047957,-196.29730004359953,-437.8393556387928,-5.412718425475759,negative_only,-194.02439054258681,-185.06017415573115,-427.17908693291974,-0.15286634439326008,negative_only,-9.556737387892733,-0.8267750459121999,-430.69820487810654,0.44366452601661877,9.606873942281718,0.8267750459121999,4.838617711694268,430.69820487810654,negative_only,0.0036471436579815436,4.2956637827005535,60.31215686541746,0.003633878421593353,0.8078795262775257,0.9836900208518999,inspect_residual,isolated_spike,4.951069363040232,430.69820487810654,0.022222222222222223,stable_weak,27782.89522017524,663.7026111096985,660.4804893406906,277830.0,raw,0.1
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.43,0.0215,0.4402956474175573,compatible_with_capacity_scale_warning,True,0.08600000000000001,0.43,0.014338283161432014,4.999999999999999,-22.58338235413026,-21.779217974085896,-50.62816888618909,2.396030109623098,mixed,-23.797746385389438,-22.694176662576865,-51.70112683092702,-0.007590269759930379,negative_only,1.2143640312591741,0.19647818294742958,-3.801928210958522,53.2342329646217,1.4764389810959437,0.3027045675316913,1.4051082121337457,53.2342329646217,mixed,0.014507895064705676,1.389106204978484,56.560249864778314,0.014721485060634212,1.1391325043885216,85.04364735269706,inspect_residual,isolated_spike,1.2545727782512577,53.2342329646217,0.022222222222222223,stable_weak,27646.47088435825,660.4441666653139,658.0295851988475,276466.0,raw,0.1
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.43,0.0215,0.436004902349297,compatible_with_capacity_scale_warning,True,0.08600000000000001,0.43,0.0014338283161432013,4.999999999999999,-256.9066080475527,-253.3225465107173,-502.3475227571875,-24.962015427805454,negative_only,-256.70949316165485,-253.29948643795956,-502.63240191911495,-24.242515735764755,negative_only,-0.19711488589785828,-0.12412033088185126,-1.1021505007283885,0.31857041773628225,0.29617034476134135,0.2432590564567363,0.8836179107514454,1.1021505007283885,negative_only,0.0008003730498266005,0.02405884450786666,0.038933308255516885,0.0008003725250960154,0.023493562475984858,0.03747430941538508,small_residual,null_residual,0.8963656520025779,1.1021505007283885,0.0,stable_null,27377.052007979113,654.0084999987655,640.411888308957,273772.0,raw,0.1
OKane2022,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.457025794657849,compatible,False,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
OKane2022,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,3.8548900172390193,compatible,False,1.0,2.5,0.014338283161432014,2.5,-27.378671655884883,-26.64594020471486,-54.91564452412058,-2.035892794133815,negative_only,-19.42884694945534,-18.557656928469555,-43.066283256321185,-0.005291942515214032,negative_only,-7.9498247064295455,-3.111631680823848,-51.51214152531975,-0.21870602403373596,7.9498247064295455,3.111631680823848,49.958608130028274,51.51214152531975,negative_only,0.13406964737507807,77.02793210066322,8966.823149916712,0.11821988427261831,0.987065591027244,0.9998884902184976,inspect_residual,mixed_or_intermediate,49.55518917820554,51.51214152531975,0.1111111111111111,stable_intermediate_or_spiky,20816.406093090704,5782.361111111111,5767.056258013712,208166.0,raw,0.1
